AUC,Mean Insertion Errors for each Pixel
8.288787103153515,"[0.68699881 0.6463071  0.66299002 0.61412623 0.57953945 0.50278642
 0.45964084 0.38711518 0.34968706 0.33733531 0.28905816 0.30215526
 0.27155255 0.25026574 0.22500454 0.24537828 0.26064682 0.20211538
 0.18282628 0.16777615 0.15054043 0.13350477 0.10416303 0.09353232
 0.08090965 0.05618516 0.05073207 0.04116579 0.0359811  0.03617568
 0.03526884 0.03163926 0.02914937 0.02544559 0.02869112 0.02141337
 0.0148714  0.01321576 0.01220791 0.00980977 0.00875707]"
9.764347250403691,"[0.70129731 0.66889839 0.65514196 0.6208371  0.59805982 0.56167786
 0.52053256 0.47974587 0.46536494 0.44263633 0.4495696  0.38857873
 0.34675285 0.30539083 0.27200013 0.24856904 0.2295425  0.21508478
 0.19823642 0.1924487  0.1911325  0.16998466 0.16367773 0.16769009
 0.14761132 0.1209563  0.11627202 0.10402685 0.07771237 0.06195613
 0.049126   0.03833564 0.03201077 0.0198013  0.02159417 0.01867907
 0.01763448 0.01342091 0.01136125 0.00780571 0.0076818 ]"
10.497551524153184,"[0.7305661  0.72503778 0.67314103 0.63370411 0.61171701 0.59000462
 0.55935796 0.5479203  0.53724477 0.48538485 0.44665307 0.40144822
 0.35239514 0.30161516 0.29876483 0.25671638 0.22899928 0.24682456
 0.23640987 0.21591179 0.19872314 0.18558202 0.17371371 0.18031117
 0.17659447 0.15336408 0.12615356 0.11932761 0.09338846 0.07232791
 0.06933387 0.05407864 0.03614979 0.0396923  0.02981313 0.02061931
 0.01729629 0.01305812 0.01092334 0.00888779 0.00735811]"
9.722159393808747,"[0.6947401  0.68869678 0.65467933 0.6340931  0.59948648 0.57922396
 0.47576135 0.49497892 0.48507568 0.43242716 0.37044891 0.3450407
 0.30581665 0.29681807 0.26177471 0.22513163 0.21165805 0.20255661
 0.20299476 0.19457233 0.19563633 0.1817229  0.18021467 0.15076786
 0.15038631 0.13719481 0.12320945 0.10382592 0.0958018  0.07146532
 0.06016825 0.05181437 0.04501903 0.04600626 0.03387913 0.02966805
 0.01877927 0.01383884 0.01056608 0.00898194 0.00921513]"
8.633320231179265,"[0.67798256 0.68971469 0.69716459 0.64997866 0.55196984 0.53615147
 0.47607542 0.41896109 0.37546061 0.32984936 0.26930969 0.26051504
 0.23916973 0.20871481 0.20537216 0.18326663 0.17365046 0.16608533
 0.17013073 0.17891187 0.17449335 0.17129294 0.16128366 0.1514426
 0.14553319 0.11706957 0.0943085  0.0871135  0.07702644 0.05471454
 0.05624497 0.0459434  0.03710711 0.03109124 0.02901269 0.02326284
 0.01818079 0.01200473 0.01233795 0.01047961 0.00786626]"
8.691808381396301,"[0.68869776 0.69600888 0.73334327 0.68612171 0.64848508 0.55011444
 0.48470792 0.43127569 0.36707125 0.32215682 0.27745803 0.25085569
 0.21949085 0.19250688 0.19398595 0.17765783 0.17482236 0.16349335
 0.14884087 0.14619007 0.15361138 0.17124573 0.14688305 0.15659613
 0.11553097 0.11806449 0.11065495 0.08365381 0.07520365 0.05661807
 0.0489851  0.037775   0.03752091 0.03826736 0.04043812 0.03045357
 0.01745457 0.01425196 0.01469678 0.00985081 0.01023228]"
8.298402641169243,"[0.69713452 0.68905941 0.66249799 0.66662769 0.63320777 0.57912041
 0.4975709  0.41934825 0.36654714 0.30899754 0.26925883 0.23488845
 0.20904615 0.18014025 0.16768721 0.15115225 0.15273673 0.12790943
 0.13347582 0.14628131 0.13972644 0.13505093 0.12747787 0.1387307
 0.12533485 0.12115734 0.09675706 0.08336855 0.06402954 0.04825629
 0.04292765 0.03800009 0.0289249  0.03069808 0.03572338 0.03360026
 0.02302404 0.01324976 0.01142805 0.01229414 0.00904385]"
8.463343891887746,"[0.71762809 0.68659168 0.66565231 0.7094662  0.64563263 0.57162153
 0.52628838 0.46470507 0.42622663 0.34733604 0.29336947 0.23198837
 0.18980713 0.19270584 0.15226265 0.12791768 0.13236365 0.12428564
 0.13478209 0.13846279 0.11933939 0.11735724 0.12127442 0.13709791
 0.13956876 0.11606792 0.10501072 0.08844727 0.0842566  0.05120504
 0.03988222 0.03144444 0.03146833 0.03195088 0.03189262 0.03481659
 0.02334297 0.01734335 0.00882997 0.00827913 0.00837663]"
8.272874244238666,"[0.6720894  0.6634283  0.64007403 0.67501159 0.65875253 0.6021913
 0.5124149  0.45819096 0.39122699 0.32424093 0.30332355 0.24825373
 0.17922235 0.15533356 0.16536523 0.13582525 0.12628495 0.13127338
 0.13646837 0.13405832 0.13173524 0.10951239 0.09929042 0.11508941
 0.14475135 0.10877794 0.10982793 0.08461339 0.07489651 0.0425958
 0.03092991 0.03322231 0.03058743 0.03345731 0.03217526 0.04012094
 0.02842307 0.02055221 0.01101876 0.0097419  0.00913968]"
8.982010503420256,"[0.72430544 0.6904849  0.69097468 0.72267653 0.67834131 0.63920484
 0.58684866 0.47578898 0.41764737 0.40146131 0.33204549 0.26783143
 0.21471323 0.20201004 0.19042172 0.13970483 0.13725039 0.12979668
 0.15383613 0.15519671 0.14149612 0.12791952 0.11281198 0.13458641
 0.15527536 0.11067255 0.11582183 0.09776004 0.08783487 0.04745397
 0.03341951 0.03522849 0.0326259  0.03203672 0.03132006 0.0316828
 0.02306481 0.01708608 0.01091149 0.01006963 0.00908887]"
