AUC,Mean Deletion Errors for each Pixel
17.805459202661662,"[0.         0.0363119  0.07782448 0.07672759 0.13341227 0.174417
 0.21567703 0.2251964  0.24618425 0.26713013 0.28942903 0.31719798
 0.35532286 0.3748847  0.41916818 0.41650224 0.47038016 0.46756338
 0.48393566 0.47740287 0.48409279 0.49850642 0.49465175 0.49737071
 0.51393418 0.51068822 0.52057188 0.55515068 0.58878117 0.62014816
 0.63140956 0.65246036 0.62762533 0.6117084  0.65033828 0.6701856
 0.6841076  0.70708535 0.71078638 0.70151024 0.69935609]"
14.31135397117861,"[0.         0.03144967 0.06286063 0.10196512 0.14701343 0.17081908
 0.17123705 0.18818045 0.20622537 0.23162505 0.24283352 0.22586903
 0.24029135 0.22195024 0.22213853 0.2262195  0.25966622 0.28253558
 0.28223399 0.29485711 0.3055032  0.29623233 0.29997423 0.32149845
 0.33249587 0.34552584 0.35507766 0.37337565 0.42844458 0.47918564
 0.52901555 0.56984438 0.57702277 0.63061534 0.66352146 0.69908096
 0.78866117 0.73587411 0.71479048 0.70339854 0.70448968]"
13.678868775952974,"[0.         0.03515663 0.069042   0.10107151 0.17150237 0.22644688
 0.21354881 0.21856227 0.21038302 0.18575469 0.19645116 0.20997051
 0.18102747 0.17467294 0.17033591 0.1653011  0.20523575 0.24326247
 0.23482283 0.28485327 0.29849358 0.32540808 0.32746841 0.32867498
 0.34506078 0.35347959 0.36024035 0.36298972 0.38329746 0.43677976
 0.41774993 0.46603615 0.50317747 0.54660655 0.61691072 0.71877804
 0.78196763 0.77012468 0.74922722 0.72543319 0.72712574]"
13.134268472618931,"[0.         0.03124616 0.07395367 0.10259475 0.17041261 0.20642908
 0.22457463 0.25624509 0.23004404 0.22544234 0.21725833 0.19724438
 0.19032494 0.15357324 0.13121907 0.14687251 0.17231469 0.17884708
 0.19275885 0.19228542 0.21184164 0.23862317 0.27020782 0.29852286
 0.32043475 0.36458562 0.34742146 0.39461518 0.41825401 0.44803958
 0.45935905 0.48760073 0.4973118  0.52759445 0.55915013 0.6170409
 0.79588738 0.77449434 0.73517622 0.72709769 0.69473765]"
13.298812795081062,"[0.         0.02983535 0.07704301 0.13489313 0.21132026 0.21198106
 0.30324994 0.29756569 0.28152696 0.237223   0.21623931 0.17852074
 0.1522192  0.15437748 0.15635699 0.15106781 0.14193788 0.13945401
 0.13653213 0.14047865 0.16343486 0.17797984 0.20258237 0.24430114
 0.31029672 0.32072188 0.36387157 0.39899148 0.43301429 0.45017788
 0.52007303 0.52466086 0.55986428 0.58164016 0.68579377 0.71819506
 0.75739502 0.77087999 0.71201029 0.71770591 0.6667996 ]"
14.61547017705244,"[0.         0.02884295 0.07268114 0.13003598 0.20039274 0.2674814
 0.31333852 0.32981244 0.28990032 0.25851009 0.23281241 0.2049592
 0.1943019  0.18841057 0.1740833  0.16039596 0.14900626 0.15608687
 0.17988239 0.17017423 0.17463715 0.18032228 0.2092928  0.22524417
 0.27213389 0.34499809 0.3970989  0.43771977 0.48715228 0.51066372
 0.54690357 0.56353919 0.60687766 0.71576671 0.86386834 0.8706636
 0.81544709 0.83779542 0.78220229 0.72489142 0.69428629]"
14.908486982759438,"[0.         0.03053663 0.06878467 0.12817629 0.19393577 0.26828693
 0.28962946 0.29371598 0.28177784 0.23276769 0.22096944 0.2008295
 0.18132009 0.17869197 0.19132644 0.17503771 0.17365472 0.16533764
 0.17136049 0.18857446 0.18551336 0.20926893 0.20987248 0.23995413
 0.28177375 0.34852806 0.41095084 0.45748417 0.49318848 0.51437242
 0.59576861 0.61848062 0.63530493 0.79704001 0.84623359 0.87105764
 0.86068769 0.83312811 0.80643137 0.72090165 0.67566486]"
14.936138217940861,"[0.         0.0231979  0.05971108 0.09441616 0.12759413 0.1795134
 0.23443018 0.26094672 0.27224355 0.19994664 0.15519946 0.17383033
 0.19239324 0.18061252 0.19812997 0.21852848 0.19016177 0.20193514
 0.17997623 0.18083317 0.2057337  0.21071742 0.23321115 0.25401724
 0.28713839 0.30268567 0.34874437 0.41581927 0.4638154  0.5307777
 0.69147291 0.72405565 0.7400817  0.79064471 0.84900372 0.9005392
 0.87677913 0.86036008 0.82805207 0.74752182 0.70273367]"
14.576810680404149,"[0.         0.02501445 0.0584302  0.08862403 0.10091363 0.13163793
 0.18852433 0.24926895 0.27475835 0.22956925 0.17188958 0.17647947
 0.17850776 0.18739463 0.1964017  0.20898927 0.21401255 0.19838929
 0.18234549 0.18563476 0.19612109 0.21878308 0.24268903 0.24694478
 0.28350747 0.28755067 0.33558159 0.40795968 0.45017847 0.51538368
 0.68913675 0.72111622 0.78346748 0.77606821 0.82395668 0.85369823
 0.82965341 0.82615242 0.80024851 0.70124219 0.6811709 ]"
15.20103499111083,"[0.         0.02063724 0.0531235  0.07144468 0.10861988 0.124088
 0.16359653 0.2343118  0.23760627 0.25112663 0.1935587  0.20095891
 0.20460732 0.1914395  0.19677156 0.21677944 0.22689609 0.20182215
 0.19687936 0.18729325 0.22567755 0.24746331 0.28106204 0.27731931
 0.32564416 0.30426262 0.32892607 0.40697943 0.46657695 0.52246607
 0.73699798 0.74365464 0.80766527 0.78860351 0.8400239  0.89947822
 0.88549495 0.8634468  0.83628317 0.77084977 0.72119689]"
