AUC,Mean Deletion Errors for each Pixel
16.27503785098841,"[0.         0.02799275 0.08651458 0.16754046 0.17142277 0.2095747
 0.24636488 0.26645949 0.29898813 0.28013058 0.28977662 0.30523573
 0.27140141 0.24750073 0.24877167 0.2540411  0.26958748 0.27369364
 0.30845242 0.314097   0.32310273 0.35593611 0.34688422 0.34039011
 0.39476225 0.4260251  0.47918195 0.5111808  0.5381365  0.60509086
 0.64428913 0.65128692 0.69323624 0.71251661 0.7321075  0.75114457
 0.74956222 0.71896203 0.7035513  0.70008185 0.72012543]"
14.998734174864252,"[0.         0.03931102 0.10743986 0.16670723 0.19638358 0.22137761
 0.22346107 0.22160404 0.22556946 0.18384897 0.16558641 0.18126617
 0.17114986 0.17823875 0.18135072 0.16896359 0.18320518 0.21202739
 0.23966688 0.25049764 0.27183138 0.30272121 0.30615081 0.28836967
 0.30905046 0.37185896 0.42388183 0.45182384 0.50957366 0.5716159
 0.62578813 0.69462417 0.72708552 0.75117968 0.79163354 0.79200623
 0.77144629 0.75066565 0.73225503 0.69173237 0.69156882]"
14.659328098794997,"[0.         0.03904552 0.09934302 0.151852   0.20676757 0.22036211
 0.2290513  0.219694   0.22023779 0.18856574 0.16222078 0.16559568
 0.17222153 0.18392787 0.19597636 0.21249413 0.23419463 0.22335608
 0.21828334 0.22881419 0.1804074  0.17035042 0.18360513 0.22611978
 0.26444105 0.32996787 0.38974709 0.45737387 0.53587162 0.58135957
 0.64382636 0.72777548 0.75424505 0.79670337 0.77612339 0.78314869
 0.77841083 0.76962703 0.69773916 0.69731508 0.6863325 ]"
15.197455307555437,"[0.         0.03103503 0.07910162 0.10500852 0.17820667 0.23240884
 0.22411399 0.20508152 0.19006215 0.18232154 0.18426378 0.17780189
 0.21324991 0.23410061 0.23837899 0.259      0.27553289 0.26291105
 0.25301862 0.24951849 0.22150971 0.19980858 0.1934708  0.20826115
 0.26722728 0.33280916 0.4243663  0.4633246  0.50476542 0.58178875
 0.65180027 0.72030097 0.78550788 0.81529926 0.82542865 0.80793851
 0.79468717 0.81423625 0.72837351 0.72511774 0.71263445]"
14.708244935029688,"[0.         0.03370471 0.07370995 0.1051966  0.12130343 0.15501067
 0.19163031 0.17342423 0.18405743 0.19230831 0.22191819 0.22518
 0.20678348 0.22332653 0.22868597 0.25022974 0.27972816 0.25730781
 0.25310484 0.24904107 0.2392426  0.21818286 0.20693274 0.19869453
 0.2145408  0.29632089 0.39214109 0.43498449 0.49063617 0.53948866
 0.62439218 0.67588303 0.73240503 0.79823693 0.81723342 0.82913834
 0.78628725 0.78430128 0.73688313 0.71886825 0.69559969]"
14.877593536122431,"[0.         0.03437902 0.07374294 0.10874672 0.10336221 0.11420809
 0.1341735  0.16182357 0.18197711 0.17672808 0.19156071 0.20666952
 0.20114321 0.21627368 0.22200034 0.23837016 0.26430699 0.28009145
 0.25746899 0.2618491  0.27290862 0.22769337 0.20675299 0.19382571
 0.23297445 0.29517895 0.39414155 0.4422545  0.49671694 0.5414512
 0.68667052 0.74042416 0.73597409 0.78773187 0.83600266 0.86188043
 0.84370763 0.80899792 0.76705553 0.72630634 0.70013745]"
14.619352237838985,"[0.         0.03198411 0.0694235  0.1003351  0.09004798 0.09094934
 0.13070654 0.14285237 0.18110478 0.17515733 0.18514083 0.21993105
 0.20133606 0.21619833 0.21661202 0.24129825 0.26243825 0.27029923
 0.25444103 0.26039674 0.25190238 0.24929741 0.21352947 0.2226458
 0.22762188 0.26271118 0.3940071  0.42806913 0.49738426 0.55614183
 0.67266185 0.72072806 0.72985127 0.77849896 0.81315098 0.83628547
 0.81558355 0.79980314 0.76032309 0.7005027  0.69599973]"
14.973928193336612,"[0.         0.03017807 0.06942893 0.0943234  0.10475452 0.12583248
 0.13860653 0.1517356  0.17025281 0.17802394 0.2090762  0.22164299
 0.20679119 0.20604926 0.22321112 0.24851409 0.25870483 0.27995246
 0.25785851 0.27048877 0.26755311 0.2436387  0.23960959 0.24717249
 0.23729679 0.27677298 0.37016182 0.44070805 0.48479541 0.56358778
 0.72159147 0.74609351 0.73700478 0.77934669 0.82085218 0.84134517
 0.83770055 0.81918818 0.78408932 0.72323385 0.69352015]"
15.11360759229532,"[0.         0.03122693 0.0695301  0.0900628  0.10945781 0.13001572
 0.11776423 0.13657071 0.18123296 0.18638638 0.18631035 0.20327544
 0.20312987 0.20551384 0.25062432 0.25100976 0.2652701  0.28305717
 0.24803266 0.28872455 0.28173658 0.28963076 0.29239007 0.25462048
 0.25018567 0.27304545 0.35420229 0.44844834 0.50880239 0.55924848
 0.74090979 0.74349956 0.74267419 0.77189653 0.80500758 0.82991667
 0.8325022  0.80953334 0.80208573 0.73707658 0.69799846]"
14.616667041112388,"[0.         0.02792317 0.06425641 0.0792012  0.09096371 0.12332175
 0.11264696 0.12374075 0.15773462 0.18546101 0.18882807 0.19350708
 0.19477452 0.20101899 0.21337818 0.2301123  0.25000215 0.26365309
 0.24854718 0.2709155  0.26440942 0.27368971 0.26879688 0.25071251
 0.22388373 0.27246615 0.35151368 0.4188166  0.52263912 0.58301682
 0.71618746 0.72382705 0.74818525 0.74967476 0.77376173 0.8046553
 0.79041611 0.8131868  0.79273662 0.71140077 0.68540788]"
