AUC,Mean Insertion Errors for each Pixel
7.112886477347715,"[0.6973254  0.659827   0.6452066  0.5552252  0.51219428 0.44147288
 0.35104441 0.35164197 0.30573179 0.27168188 0.23879879 0.2085192
 0.1951487  0.19914597 0.18711954 0.16520789 0.14163296 0.11805614
 0.11774176 0.11358037 0.10901216 0.11485856 0.09211632 0.08540113
 0.08313223 0.07467898 0.06271241 0.05329698 0.04043095 0.03633247
 0.03967995 0.03921657 0.03207871 0.02835254 0.02408978 0.02055453
 0.01516934 0.01268963 0.00933704 0.00791795 0.00837642]"
8.05787019793584,"[0.70212963 0.65554092 0.62973673 0.63602774 0.54906463 0.4929065
 0.4097306  0.38803667 0.39713814 0.36026258 0.33127691 0.30384432
 0.25448398 0.22613634 0.19691813 0.17816477 0.16468829 0.14770575
 0.13779792 0.11818874 0.11662228 0.11045265 0.10278186 0.0994633
 0.10045685 0.09261085 0.08298646 0.07525148 0.05773527 0.04900127
 0.04049073 0.03133144 0.03589029 0.03284932 0.02396894 0.02060872
 0.01818741 0.01501414 0.01187614 0.00665034 0.00985198]"
8.003418227896939,"[0.68324144 0.64250028 0.60132707 0.60471821 0.55866347 0.47770535
 0.40243706 0.40225055 0.36215802 0.32974302 0.29448124 0.30498858
 0.257667   0.2200713  0.18428092 0.14058383 0.12130991 0.13814461
 0.13452841 0.12698824 0.13546041 0.16079124 0.14411913 0.14277958
 0.12706382 0.11790324 0.08921877 0.06806774 0.05698944 0.04922523
 0.03978991 0.04043633 0.04258596 0.0330767  0.03314959 0.01963042
 0.0158659  0.01278881 0.01343785 0.01074795 0.00824491]"
8.248369047718878,"[0.71227147 0.66700213 0.59903911 0.6433829  0.56470367 0.48607954
 0.42383872 0.40083941 0.34665137 0.34009742 0.3207603  0.28497187
 0.25987616 0.22419467 0.19130346 0.14338993 0.12938687 0.14637944
 0.1307654  0.11472832 0.17064698 0.15215949 0.15657145 0.13834395
 0.12751199 0.12805587 0.12225924 0.10815321 0.07345526 0.05675595
 0.03690983 0.03188076 0.02980409 0.03335158 0.03309299 0.02245855
 0.01840198 0.01067268 0.01061935 0.008616   0.01024286]"
7.61218086728406,"[0.67925929 0.6277094  0.56571977 0.5644285  0.53797373 0.4494039
 0.40937422 0.37160815 0.33028764 0.27712343 0.25310159 0.22287246
 0.20706082 0.20659911 0.18891522 0.17271267 0.14847177 0.12660425
 0.12115636 0.12665756 0.10989883 0.12960064 0.12851493 0.12095024
 0.11344912 0.12781555 0.12670477 0.10276069 0.07445178 0.05872308
 0.03686983 0.03315058 0.030666   0.03647812 0.03919142 0.03270155
 0.02128752 0.01519564 0.01269671 0.00932668 0.008674  ]"
7.4532039382198345,"[0.6999134  0.67982614 0.57603578 0.4968279  0.40596073 0.46305335
 0.40481059 0.35813638 0.34553671 0.27709715 0.23566708 0.217964
 0.21093344 0.19325229 0.20141302 0.16342549 0.14784703 0.13871322
 0.11718313 0.11998618 0.10472212 0.13081855 0.13849347 0.11875646
 0.11718943 0.12751559 0.12369856 0.10774955 0.06954079 0.05988365
 0.04180844 0.03637634 0.02294816 0.03372406 0.03313616 0.02850439
 0.02239362 0.01081068 0.01023992 0.00777651 0.00698239]"
7.181816940316766,"[0.68866704 0.66280359 0.56623177 0.48381724 0.37788407 0.43173986
 0.3549468  0.31498562 0.31120905 0.29069843 0.23658485 0.20610369
 0.19545185 0.19214418 0.21753562 0.17620505 0.14173907 0.12257912
 0.12446486 0.11738556 0.09792771 0.12440286 0.13100947 0.1223624
 0.11270326 0.11215525 0.11367758 0.10021296 0.06483638 0.04519963
 0.03680771 0.03370406 0.03327382 0.03368035 0.04807347 0.03592258
 0.02657133 0.01693848 0.01069019 0.00895907 0.00772913]"
7.198907557995275,"[0.71340472 0.70397835 0.60291253 0.50440572 0.38068385 0.30798011
 0.31063319 0.31944675 0.29432705 0.27552684 0.25834517 0.23225604
 0.20811762 0.18451138 0.19682471 0.16984107 0.1382609  0.13416838
 0.12036447 0.12402792 0.10578145 0.12182397 0.12924473 0.13108489
 0.12000335 0.11918689 0.10813035 0.11050019 0.07538061 0.05259026
 0.0299606  0.04004609 0.03913833 0.03117365 0.04408672 0.04218637
 0.02853683 0.01756836 0.01220975 0.01144934 0.01102085]"
7.273582465932626,"[0.71709166 0.67978548 0.62208632 0.5244546  0.39451393 0.32538624
 0.29937112 0.29248073 0.28871162 0.27832927 0.25954596 0.25368194
 0.20035645 0.19084692 0.21870087 0.17451913 0.1567016  0.12707361
 0.127114   0.12329381 0.10461909 0.11061984 0.11718951 0.12121253
 0.12890007 0.11616931 0.11762663 0.10695283 0.07480659 0.05271106
 0.03637245 0.03932687 0.0438623  0.04298512 0.04660734 0.03996172
 0.02898965 0.02456873 0.01156252 0.00891709 0.00824357]"
6.869015018783689,"[0.67118075 0.65575097 0.62353796 0.49238515 0.37252395 0.29426312
 0.29244102 0.27945575 0.28589004 0.27951707 0.23764672 0.22638288
 0.18729016 0.17775028 0.19047552 0.15895661 0.13778539 0.12254954
 0.10438668 0.11815673 0.10586528 0.10795871 0.11309174 0.10862881
 0.12494359 0.11070515 0.11167529 0.09174105 0.06130031 0.03989432
 0.03016903 0.03422094 0.0471008  0.03950104 0.04875054 0.04073474
 0.0317283  0.02513651 0.01018718 0.0087835  0.00832453]"
7.198069383039149,"[0.70030556 0.68099237 0.6304357  0.51737078 0.41156827 0.31041065
 0.29934978 0.29319925 0.28218898 0.27857986 0.26880198 0.25002996
 0.1877014  0.19683955 0.20279268 0.14598028 0.15264607 0.11897272
 0.10580678 0.11877805 0.10802242 0.11523892 0.1233964  0.13938537
 0.14263815 0.11665179 0.10870549 0.09208955 0.07268815 0.04566305
 0.02844889 0.03624801 0.05448644 0.04633936 0.04862892 0.04259289
 0.02750429 0.0214463  0.01080777 0.01003971 0.00889923]"
