AUC,Mean Deletion Errors for each Pixel
17.78277574531235,"[0.         0.03116289 0.07081089 0.17164124 0.28753905 0.27760734
 0.23430986 0.27374989 0.28880832 0.30813724 0.31220501 0.3107552
 0.31411784 0.30393367 0.28858542 0.30949571 0.32414159 0.35314755
 0.35693247 0.37614429 0.42656987 0.44453559 0.51289117 0.52248324
 0.52888955 0.51928418 0.56336693 0.58683875 0.61347608 0.6173017
 0.66518053 0.67284014 0.66406765 0.6848767  0.71068845 0.71110761
 0.69965114 0.69204052 0.69109074 0.70400774 0.71672402]"
17.00795747379252,"[0.         0.03351692 0.09186526 0.12524689 0.1963637  0.24705366
 0.17350759 0.16621312 0.16664642 0.158969   0.1669988  0.18215767
 0.19225563 0.22220134 0.27917815 0.30551671 0.35030427 0.37206289
 0.38947226 0.40246192 0.44391863 0.48889657 0.54754087 0.57102262
 0.57036472 0.58797699 0.60280846 0.60989831 0.61337097 0.63226421
 0.66552845 0.66633504 0.6919443  0.69894122 0.67119243 0.68960624
 0.66853452 0.67694078 0.66871932 0.67652258 0.68727609]"
17.275354754824974,"[0.         0.0332258  0.08517289 0.10293149 0.13772614 0.1843479
 0.18719208 0.18884586 0.16332119 0.15297249 0.1838614  0.20089516
 0.21217297 0.23143822 0.24387435 0.27846167 0.32291974 0.34259994
 0.35713655 0.40859022 0.45421886 0.48992926 0.52925095 0.56636137
 0.62984925 0.64081248 0.63311742 0.65889785 0.68028415 0.68956071
 0.69777026 0.71112162 0.70769509 0.69821932 0.71014831 0.70798704
 0.68665601 0.66501921 0.66854193 0.6818118  0.70083157]"
17.472343218914162,"[0.         0.02990555 0.08645329 0.10589134 0.10934253 0.13480542
 0.1612769  0.18997672 0.15320667 0.16871678 0.20025929 0.23554533
 0.22172877 0.22973627 0.23966297 0.26763785 0.29934041 0.33499827
 0.38257814 0.45093581 0.50318228 0.5398961  0.56930114 0.55016444
 0.59481729 0.56456824 0.63156303 0.63209328 0.66683863 0.67379918
 0.72861376 0.73226751 0.75371773 0.75461854 0.74399631 0.73013563
 0.70544435 0.68267402 0.67081704 0.69118565 0.70130147]"
17.516666991238363,"[0.         0.03738886 0.0866282  0.10028127 0.10637232 0.12449559
 0.14973702 0.14830685 0.14248371 0.17561322 0.2108188  0.22115573
 0.20684232 0.22244549 0.22226133 0.24902829 0.28917398 0.3574231
 0.3937312  0.47874301 0.51823071 0.53357273 0.57103635 0.55641906
 0.56746331 0.58821626 0.60334642 0.62510934 0.67211486 0.683976
 0.72791205 0.75517192 0.75776167 0.77073361 0.77622215 0.76372999
 0.71874373 0.68538678 0.66696104 0.69777018 0.70771708]"
17.617146898465805,"[0.         0.03347291 0.07787057 0.09677404 0.10742568 0.13507354
 0.14049887 0.1385924  0.14407022 0.17598845 0.20221077 0.21138948
 0.20195573 0.21450457 0.24409712 0.25895574 0.27816566 0.32591755
 0.38287279 0.51078351 0.54989241 0.56336323 0.58818296 0.58765082
 0.57249733 0.58912879 0.57770511 0.60542886 0.65112345 0.67900253
 0.7191852  0.74671874 0.7736867  0.78366435 0.79050978 0.80109801
 0.74093615 0.69160215 0.67022882 0.70910811 0.69162763]"
18.114791221985826,"[0.         0.04003468 0.09022626 0.09646321 0.1189     0.13888882
 0.15169155 0.15205052 0.1630769  0.18825496 0.19648852 0.23427634
 0.23657403 0.25362869 0.26370069 0.28792315 0.31515196 0.33364928
 0.41655404 0.53833646 0.55075446 0.57464499 0.58072754 0.59377483
 0.6093672  0.61969448 0.57773698 0.60605086 0.65668919 0.68118804
 0.70534441 0.74796801 0.78084174 0.7849979  0.81972915 0.81141632
 0.76010753 0.72042621 0.68103728 0.68594877 0.70095055]"
17.922586280757653,"[0.         0.03242562 0.06736006 0.09138675 0.1224507  0.12260319
 0.1350826  0.14451137 0.17425572 0.18214336 0.18659277 0.20060231
 0.20363422 0.21179257 0.23127496 0.25869854 0.30922132 0.44255037
 0.43325411 0.50907322 0.53829326 0.57507878 0.56384506 0.59849865
 0.61299746 0.63064195 0.61829649 0.62253804 0.63768765 0.67645898
 0.70287212 0.7270918  0.78061515 0.77834231 0.7962365  0.80009934
 0.76878673 0.70922498 0.69811708 0.67868364 0.69853311]"
18.511404625433734,"[0.         0.02384873 0.05416208 0.08415998 0.12459916 0.12429508
 0.12477357 0.16633782 0.16426154 0.1828673  0.18273358 0.22509151
 0.23412072 0.24134654 0.26506514 0.27597731 0.36707492 0.46894223
 0.46619386 0.51513421 0.53926849 0.6100853  0.61551114 0.62263043
 0.64228373 0.63099221 0.65284101 0.66983279 0.67298818 0.66943944
 0.73003183 0.7251475  0.78177505 0.78686179 0.82230012 0.7988218
 0.77500836 0.71114013 0.69426618 0.71312893 0.71212984]"
18.382117894707832,"[0.         0.0189808  0.051536   0.09078875 0.123355   0.12721687
 0.13409851 0.15175046 0.15030016 0.17211226 0.18162353 0.21812846
 0.25742274 0.26522093 0.27887491 0.28947611 0.37907231 0.4885626
 0.46722093 0.51498828 0.52387347 0.59211087 0.62223476 0.60893845
 0.61704951 0.64167912 0.65822914 0.6484519  0.68444099 0.65680874
 0.70506749 0.72144751 0.77395819 0.7689196  0.79639508 0.8044102
 0.75610809 0.70964134 0.69028264 0.69492251 0.69283735]"
18.257257605974438,"[0.         0.01480672 0.0432358  0.08140542 0.10900448 0.11906986
 0.13865112 0.16037273 0.15104071 0.17992392 0.1940883  0.20595257
 0.23251444 0.25481204 0.25919183 0.26898305 0.3577759  0.49011498
 0.45538795 0.49325663 0.5380346  0.57753803 0.60056369 0.63044838
 0.59612103 0.64550287 0.67702912 0.67364358 0.66034579 0.64902161
 0.6893844  0.71108533 0.76756904 0.78413747 0.79124698 0.80268521
 0.78152009 0.71894013 0.69299754 0.70842277 0.702863  ]"
