AUC,Mean Insertion Errors for each Pixel
7.479063777873833,"[0.72176184 0.66156937 0.65301632 0.55092276 0.48481981 0.48255146
 0.43971064 0.36739244 0.31188042 0.28995528 0.25419175 0.21903799
 0.21175035 0.19166224 0.19363718 0.15506337 0.13992045 0.14691811
 0.13172643 0.13549156 0.12560396 0.1067739  0.10212987 0.10104315
 0.09759666 0.08301559 0.06332928 0.05190634 0.04323283 0.039635
 0.04559222 0.04139779 0.04229093 0.02823145 0.03360593 0.02612724
 0.01974698 0.01835931 0.0134275  0.00922974 0.0093785 ]"
7.1550100009728625,"[0.67385223 0.63343716 0.5621215  0.45270245 0.49089264 0.44800826
 0.40577824 0.33343908 0.31311088 0.24269863 0.24937053 0.20656065
 0.21996884 0.19793281 0.20171982 0.19648776 0.17233984 0.15034958
 0.15493805 0.127494   0.12879626 0.0973384  0.08602719 0.07299729
 0.06940324 0.07233195 0.08053349 0.0652619  0.05123327 0.04525364
 0.03981875 0.0394676  0.04228835 0.03772613 0.03711491 0.02440698
 0.02360554 0.01944797 0.01123533 0.00968176 0.00952644]"
7.302596018029327,"[0.70248904 0.65142136 0.56773957 0.47206654 0.4201423  0.42507923
 0.38518716 0.3371824  0.28975682 0.26716533 0.24251014 0.22522766
 0.22003262 0.22055052 0.24286034 0.20725862 0.18993002 0.18610574
 0.15964664 0.15084556 0.1213802  0.10191328 0.09641845 0.09068799
 0.07338579 0.07273056 0.07039018 0.07377133 0.05739913 0.05798671
 0.04793456 0.04772657 0.04122391 0.03407548 0.02549706 0.02475437
 0.0149772  0.01443749 0.01112921 0.00866396 0.00831901]"
7.234907438443885,"[0.71669762 0.65812728 0.56664684 0.46520429 0.40137939 0.31228475
 0.34040709 0.35310457 0.3135761  0.27880399 0.25282022 0.22184528
 0.21771207 0.20105402 0.23697747 0.20799638 0.19827007 0.19495125
 0.17489115 0.14565354 0.12826492 0.10512195 0.09829226 0.08539504
 0.085297   0.06785522 0.06747671 0.06548498 0.05158428 0.05477117
 0.05052772 0.04699241 0.03902336 0.03902513 0.0395683  0.03824136
 0.02982696 0.01878024 0.01291827 0.00614253 0.00852614]"
7.104985382322479,"[0.70175122 0.65042079 0.57665468 0.4663255  0.37439669 0.31868793
 0.35873769 0.32913558 0.29983452 0.27140272 0.26545825 0.23088557
 0.21876543 0.21394009 0.22044684 0.18740101 0.2100002  0.1829933
 0.15588937 0.13196016 0.10786417 0.10678335 0.09665245 0.08927445
 0.0738052  0.0681979  0.06725842 0.04911539 0.04927848 0.04592345
 0.04636687 0.04735715 0.04816892 0.04522161 0.03637731 0.04012908
 0.02879566 0.02199689 0.0098098  0.00840299 0.00798787]"
6.982116735739734,"[0.70135192 0.65531693 0.57654357 0.45147873 0.36370378 0.32222415
 0.35063628 0.3264824  0.2994015  0.26839971 0.23964542 0.22167073
 0.2064503  0.19957936 0.23119693 0.19152097 0.19097412 0.17112093
 0.15464195 0.1231616  0.11592828 0.11387978 0.10158363 0.0797608
 0.07560331 0.06430534 0.05520155 0.05753684 0.04257005 0.04686996
 0.04075945 0.04865736 0.04383418 0.0402749  0.03549097 0.0417735
 0.0330256  0.02448556 0.01252914 0.00786974 0.01070292]"
7.176496856928601,"[0.69583291 0.65973551 0.59073174 0.46838719 0.40079654 0.30278246
 0.33715151 0.3443639  0.33699073 0.26671355 0.26625799 0.2307973
 0.22334399 0.19801903 0.21459489 0.18732391 0.18748532 0.17178363
 0.15548095 0.13148276 0.10624861 0.1029414  0.11264256 0.08925843
 0.07433895 0.06581897 0.0647832  0.05284931 0.05490115 0.04706
 0.04698749 0.05324723 0.05509904 0.04750076 0.0445256  0.04785022
 0.03100457 0.02634479 0.01653522 0.00941826 0.01000352]"
6.763141276558603,"[0.70103479 0.62610901 0.52255634 0.41301609 0.35910287 0.29748289
 0.30556285 0.32440481 0.29359987 0.27785382 0.2634799  0.2253742
 0.21608883 0.20169582 0.21324251 0.1814804  0.17683387 0.15699007
 0.12176992 0.11705557 0.11204551 0.10763149 0.10418013 0.08988519
 0.07206486 0.06787892 0.06550515 0.05160332 0.05025475 0.04736023
 0.0479214  0.05113009 0.04921494 0.04337591 0.03611362 0.04031433
 0.03297929 0.02596264 0.0118425  0.00811501 0.00708993]"
6.698564995793284,"[0.69428382 0.55274245 0.50339536 0.38854002 0.37788884 0.2997765
 0.31959383 0.3034137  0.31550806 0.30691851 0.27486407 0.22511255
 0.22115548 0.20170786 0.2123887  0.17859867 0.16275228 0.14812627
 0.1369531  0.11887968 0.10379464 0.10347862 0.09555042 0.08448797
 0.07130326 0.07310939 0.06690469 0.06118247 0.05882508 0.05097595
 0.04340044 0.05079367 0.04440917 0.03670899 0.03623217 0.03519303
 0.03684791 0.02695658 0.01232122 0.00704313 0.00717673]"
6.42448151390146,"[0.68763701 0.50156935 0.4740645  0.39809831 0.35083282 0.30350116
 0.32659098 0.27510276 0.31081003 0.26262092 0.25926579 0.21930801
 0.18248018 0.19316107 0.17742334 0.16213812 0.14989777 0.13413078
 0.1304116  0.11330856 0.1020756  0.1002178  0.09648237 0.08472348
 0.07864612 0.0771004  0.068181   0.06057039 0.05095379 0.05530763
 0.05084327 0.05890549 0.05202757 0.0435852  0.0358129  0.04495117
 0.03801753 0.02973285 0.01377864 0.01020591 0.00765567]"
6.359720928168414,"[0.68330589 0.50294172 0.487608   0.39532086 0.34152602 0.30127118
 0.30916795 0.28295362 0.2954497  0.26687162 0.24203454 0.2048658
 0.20904535 0.2063435  0.19752949 0.17563141 0.14456468 0.13760766
 0.13390853 0.11399566 0.10311245 0.09649674 0.08510816 0.08690215
 0.07988328 0.07070779 0.06318247 0.05779509 0.05218775 0.05237257
 0.04563357 0.04741094 0.03865477 0.03593655 0.03611561 0.03420944
 0.03458036 0.02482209 0.01204566 0.00852677 0.00749296]"
