AUC,Mean Insertion Errors for each Pixel
13.376688921359259,"[0.72940093 0.74443488 0.71990795 0.6994871  0.70307939 0.64975159
 0.58162281 0.55827005 0.52561654 0.52218226 0.50958904 0.4663198
 0.47129819 0.43497189 0.41359511 0.40695796 0.40025738 0.40790584
 0.38795776 0.36054568 0.32156905 0.28309518 0.24719321 0.23067216
 0.2138476  0.21536769 0.23796078 0.21754878 0.18783693 0.18557529
 0.14156121 0.11409788 0.10175367 0.08802632 0.06883536 0.05188772
 0.04546224 0.03803491 0.02301694 0.03065205 0.00848455]"
12.675409204860703,"[0.6795043  0.74148956 0.66706679 0.66058684 0.66486707 0.63367971
 0.56281742 0.51001575 0.51138547 0.50114349 0.44013842 0.42925773
 0.42327942 0.42205163 0.36091774 0.37414429 0.37397199 0.38605744
 0.37417743 0.34034647 0.3110214  0.27717399 0.24970899 0.25238352
 0.21453869 0.22967568 0.23927262 0.22843153 0.1808146  0.15322317
 0.12181144 0.09492832 0.08343723 0.08879438 0.07434782 0.05013219
 0.03797885 0.02111881 0.02427923 0.02110794 0.00816394]"
12.878342782544122,"[0.69526978 0.72678805 0.70443756 0.66636378 0.64068405 0.65246342
 0.60690622 0.5507011  0.51345707 0.50298574 0.45413481 0.40239036
 0.39550612 0.39508885 0.36865996 0.38832126 0.37911243 0.38333255
 0.36622402 0.34102273 0.31473785 0.29437586 0.27693246 0.24928756
 0.24869281 0.23527977 0.24585868 0.20187131 0.17636525 0.15493676
 0.14710856 0.10983721 0.1235922  0.08811244 0.06855434 0.05329951
 0.03845615 0.02671145 0.01977717 0.01431002 0.00806092]"
12.85914403958887,"[0.70365789 0.71499168 0.72656278 0.69091416 0.67718869 0.67221815
 0.60450463 0.59038677 0.51764867 0.45167874 0.39260296 0.39170867
 0.38275267 0.39571193 0.39676784 0.37000403 0.37762437 0.37576845
 0.37761825 0.33948483 0.33881316 0.31469218 0.2821438  0.25539915
 0.2320567  0.2291655  0.22824125 0.22252793 0.15291973 0.14533355
 0.12933153 0.13181492 0.1072728  0.0769891  0.06174264 0.04620535
 0.03470211 0.023368   0.01852847 0.02580955 0.00823886]"
12.347957804144247,"[0.68998243 0.70216387 0.69703865 0.63888858 0.66019556 0.62811852
 0.54776313 0.51568465 0.51974414 0.48722047 0.44684394 0.40535251
 0.38672169 0.38506121 0.3791535  0.35796317 0.36296669 0.36091339
 0.34217762 0.31221072 0.27692411 0.21875351 0.19022831 0.18428403
 0.18843185 0.2075894  0.22104673 0.21387331 0.22210889 0.20736161
 0.16334366 0.14122696 0.12545159 0.09154765 0.07320776 0.04610224
 0.030643   0.02529967 0.01606882 0.01918705 0.00820881]"
11.36771908204038,"[0.68919535 0.7150828  0.71504745 0.66905159 0.64055818 0.59794087
 0.55184132 0.50229269 0.47319492 0.44814912 0.41385541 0.36478274
 0.34312664 0.32528573 0.28650013 0.25095682 0.23825359 0.22823386
 0.21711184 0.22158411 0.22271977 0.21719711 0.208335   0.19516654
 0.22643981 0.18155873 0.19637424 0.18086651 0.18485941 0.17048275
 0.1549173  0.18591599 0.13440708 0.11615043 0.0876296  0.06223959
 0.04112378 0.02615285 0.01391898 0.01010048 0.00743123]"
11.334826673183732,"[0.69418787 0.69631075 0.73905565 0.73321004 0.66906775 0.7352649
 0.73005248 0.69255625 0.6566845  0.63209346 0.51734495 0.412274
 0.35080907 0.30101986 0.28593124 0.25904111 0.21752968 0.20779034
 0.18065808 0.16992566 0.15895366 0.16568524 0.13838352 0.12815029
 0.12714717 0.13077286 0.11514482 0.10821648 0.0919694  0.11546253
 0.08707849 0.07836256 0.08629534 0.08434939 0.066182   0.04020414
 0.02631385 0.01878226 0.01767936 0.01163763 0.00868396]"
10.688021272874973,"[0.69816837 0.7300441  0.6450867  0.60196359 0.58286    0.54879086
 0.57732191 0.49512408 0.50273269 0.49037116 0.45652644 0.39697775
 0.36099189 0.3680078  0.357101   0.30250984 0.27021345 0.25103454
 0.23117529 0.20549409 0.18891448 0.18020737 0.15832794 0.15581694
 0.14888073 0.13302801 0.12138437 0.11553243 0.10982579 0.11712327
 0.10513863 0.09350411 0.09073843 0.07174453 0.05387385 0.03672711
 0.03056557 0.02016576 0.01556006 0.0130257  0.00904967]"
11.485660086915093,"[0.68802003 0.67169662 0.70340596 0.65359433 0.64265221 0.60517258
 0.59279902 0.60791945 0.58185941 0.58481387 0.53032714 0.48931959
 0.4497544  0.38453037 0.36407718 0.31209261 0.30230271 0.28849664
 0.2260201  0.21436936 0.19048842 0.18012122 0.19102876 0.18277476
 0.1438771  0.13689429 0.12059574 0.11121814 0.10454708 0.09518734
 0.08949659 0.08281857 0.07579677 0.08153148 0.05464725 0.02866015
 0.02512225 0.01521073 0.01510932 0.00801076 0.00661963]"
