AUC,Mean Deletion Errors for each Pixel
13.67419480981153,"[0.         0.02079356 0.06447246 0.08785659 0.15396267 0.21358214
 0.22400809 0.22146881 0.20674873 0.20703164 0.24554356 0.26020959
 0.27337412 0.30007846 0.30282471 0.33936847 0.37651306 0.40672222
 0.42737703 0.43800704 0.43488068 0.43557302 0.43393604 0.40421364
 0.40024395 0.42150128 0.42334993 0.39091605 0.35566908 0.38611089
 0.41977393 0.39582717 0.407243   0.43540665 0.43961898 0.42671161
 0.43320566 0.4735963  0.51132613 0.5103867  0.72952229]"
12.924198677020271,"[0.         0.01775806 0.04824629 0.0895244  0.16116022 0.23338123
 0.19882637 0.1815056  0.18321116 0.17310681 0.21441516 0.2301731
 0.25682264 0.26981717 0.28134721 0.34035948 0.34553685 0.39517051
 0.39817334 0.43051884 0.41057054 0.41918477 0.42759162 0.42634736
 0.41171146 0.4123299  0.4148003  0.41440307 0.3515619  0.3286738
 0.33963065 0.33327535 0.3258878  0.34609937 0.36377496 0.4122908
 0.43459397 0.50014964 0.4868196  0.57058584 0.6897231 ]"
13.753182369969633,"[0.         0.01803727 0.05449589 0.07304285 0.10123576 0.10964001
 0.15711083 0.18469915 0.16815093 0.1874325  0.19260361 0.20748525
 0.23048213 0.2752155  0.30537098 0.32818937 0.35116993 0.39392249
 0.40976601 0.41011899 0.4215323  0.44977733 0.44263092 0.45333761
 0.49560694 0.50238709 0.51057192 0.48434018 0.44270245 0.44414603
 0.38951186 0.36925175 0.36724354 0.39079887 0.36465922 0.42563888
 0.47486018 0.52479425 0.53363804 0.75503603 0.70509506]"
13.588712064968764,"[0.         0.01192686 0.04082095 0.04413715 0.09424949 0.10674545
 0.16009503 0.19043871 0.18888745 0.189477   0.21743943 0.23726144
 0.28093431 0.30485765 0.32807298 0.34662978 0.37942607 0.35318448
 0.40941048 0.43082358 0.47094368 0.47519632 0.48198326 0.47012906
 0.47236313 0.48035785 0.49087978 0.43005851 0.42670417 0.4187395
 0.37060382 0.38262239 0.36964359 0.36127557 0.39139355 0.42533014
 0.47620742 0.51745359 0.50129349 0.5040398  0.7133503 ]"
13.655340869260709,"[0.         0.01560631 0.05324324 0.08189521 0.14171861 0.15943642
 0.18743219 0.19415426 0.18671011 0.18360021 0.22562706 0.23874666
 0.24857289 0.29211219 0.31553403 0.33886891 0.35851127 0.36056551
 0.381365   0.41549119 0.4164902  0.4313734  0.45026513 0.44771548
 0.5017746  0.49508367 0.45868693 0.45454827 0.44554975 0.41351302
 0.39143842 0.35670951 0.3563937  0.33302657 0.33191922 0.38834612
 0.44260077 0.50915887 0.63429298 0.68108528 0.67235543]"
13.557257266337292,"[0.         0.01165518 0.04339329 0.08020944 0.10049857 0.1245305
 0.16743139 0.19222278 0.20006992 0.21104668 0.22173726 0.27123714
 0.27061988 0.29876837 0.30165374 0.31425603 0.32114285 0.35030417
 0.39828796 0.38474425 0.40408102 0.41252559 0.43783129 0.44171037
 0.43677096 0.45689384 0.47961778 0.42112206 0.38567919 0.37691178
 0.4012737  0.35422745 0.3834395  0.32434979 0.33225779 0.36017381
 0.45331795 0.62607276 0.74295643 0.72421375 0.6760421 ]"
13.647127261695992,"[0.         0.0129521  0.01157104 0.01524287 0.02445396 0.05556108
 0.08333204 0.09394325 0.12710687 0.17379255 0.20477336 0.23229967
 0.24262547 0.27240768 0.3276008  0.35941127 0.40853937 0.46551018
 0.5356408  0.53512715 0.53373005 0.4651457  0.40715786 0.43135514
 0.3892776  0.37191202 0.3632702  0.39272084 0.38593978 0.41035917
 0.41342956 0.39545897 0.37775503 0.38446165 0.41366732 0.45072023
 0.46246368 0.63512944 0.73435815 0.69816004 0.69752664]"
12.693004342407274,"[0.         0.01400281 0.02751269 0.05546102 0.07172252 0.11235673
 0.10824199 0.1417992  0.16144728 0.16231915 0.21254572 0.2237922
 0.22677917 0.25631599 0.28081199 0.27877913 0.3057604  0.29851965
 0.30808533 0.3177645  0.34658466 0.3525923  0.35586142 0.37364942
 0.37287597 0.40251415 0.39956943 0.36944089 0.39295512 0.38109519
 0.40525771 0.40353269 0.4040411  0.42314813 0.42055605 0.44479001
 0.45898885 0.64089892 0.70639806 0.71920088 0.71007185]"
11.192696073330666,"[0.         0.01147294 0.01512149 0.02369457 0.03806798 0.05501328
 0.06424778 0.06812724 0.09498209 0.10570184 0.10286269 0.15186875
 0.19515727 0.20985408 0.21691455 0.24301403 0.26884699 0.27015994
 0.27459258 0.30031057 0.32388211 0.36181606 0.34595043 0.36743976
 0.35390652 0.35147487 0.32980387 0.34393804 0.37671006 0.34501797
 0.36945584 0.32413742 0.3508138  0.38225106 0.37497057 0.43889917
 0.48474206 0.58942864 0.67156608 0.64328313 0.70639588]"
