AUC,Mean Insertion Errors for each Pixel
9.016148595459796,"[0.6875273  0.65908544 0.64047756 0.60628443 0.6281852  0.54296227
 0.51321058 0.46349229 0.39663659 0.38157691 0.30774264 0.35695007
 0.3050959  0.27723308 0.28666669 0.26819841 0.26721887 0.21446226
 0.19368887 0.19492721 0.1799485  0.16099735 0.12807793 0.10725047
 0.08835753 0.08415144 0.05808817 0.04771299 0.0429054  0.03457453
 0.02929616 0.0297694  0.03119387 0.0236805  0.02886891 0.02504575
 0.02223849 0.01748843 0.01318278 0.01062552 0.00967108]"
11.532910351711012,"[0.70028852 0.65488788 0.67170886 0.64152779 0.6004123  0.59833199
 0.60609933 0.58981768 0.52390262 0.46558842 0.47705427 0.56988451
 0.60708236 0.50939728 0.40743945 0.38195246 0.35864455 0.32651182
 0.2799822  0.2347213  0.2173251  0.2099132  0.19408721 0.19297728
 0.14950945 0.12270368 0.11135228 0.08077255 0.08325608 0.05795491
 0.05477332 0.04512875 0.02880134 0.027314   0.02284751 0.02022961
 0.01932319 0.01589183 0.00939244 0.01032962 0.00787134]"
12.281276312207948,"[0.72099887 0.7247128  0.67840561 0.65560258 0.63560496 0.59546433
 0.5661863  0.55597595 0.55573777 0.55627784 0.51299929 0.51106878
 0.48573732 0.45383734 0.43373456 0.3888492  0.36808063 0.33354536
 0.32914288 0.29716822 0.28535203 0.27759602 0.2500195  0.22390005
 0.18692928 0.15311107 0.15920978 0.13796966 0.111819   0.09597366
 0.08378414 0.08413267 0.05838696 0.0496238  0.03909366 0.03096255
 0.02085608 0.01341898 0.00932353 0.00674147 0.00888256]"
11.549072268989082,"[0.69681531 0.70949607 0.74211739 0.6794145  0.65073784 0.57302506
 0.48128248 0.53735884 0.52080908 0.56173753 0.50429357 0.52771724
 0.47798872 0.43058027 0.38854637 0.37543007 0.35376363 0.30978952
 0.2628108  0.21842153 0.20584543 0.18098995 0.16111121 0.15653206
 0.14265208 0.14207224 0.12698236 0.11817514 0.12014397 0.09300588
 0.09789677 0.08353364 0.06101814 0.04927014 0.04169066 0.03725236
 0.02833669 0.0204114  0.01335641 0.01027142 0.00959237]"
10.217324520961677,"[0.67386159 0.70058292 0.68587711 0.68004702 0.64175805 0.59845588
 0.51769926 0.48900237 0.48867892 0.45786918 0.4143419  0.39173322
 0.37703204 0.3518782  0.30870877 0.29287754 0.26270481 0.22936526
 0.1962483  0.17481378 0.15432396 0.15469505 0.1389531  0.13294862
 0.12022216 0.11833016 0.10368736 0.08691188 0.11137063 0.08961205
 0.09304401 0.07699079 0.05362336 0.04514253 0.03727764 0.03285298
 0.02269057 0.0184762  0.01438713 0.01064282 0.00907243]"
9.69891976764846,"[0.7104016  0.71002011 0.69110289 0.66724761 0.64894203 0.59669084
 0.55311904 0.53857407 0.49086563 0.40498849 0.35546662 0.35358957
 0.30955701 0.27644206 0.26191569 0.21116581 0.20271893 0.1993171
 0.18058241 0.18948911 0.16963201 0.15023703 0.13669235 0.12601061
 0.12133178 0.09764441 0.11662276 0.10491393 0.08166353 0.07943788
 0.06631882 0.05574032 0.04936995 0.03953318 0.02871728 0.02116266
 0.01562179 0.01658442 0.0108283  0.0101066  0.00750873]"
9.196186641846541,"[0.67299192 0.68822098 0.68176164 0.6727415  0.60774091 0.63252285
 0.57073957 0.52701506 0.45735414 0.43518128 0.37109637 0.34820617
 0.29644231 0.2405665  0.20491886 0.18056889 0.19041652 0.17095802
 0.15138019 0.14025897 0.15023703 0.14762    0.12702429 0.11440227
 0.1150984  0.08094181 0.09187594 0.07826001 0.07076164 0.05136379
 0.04784054 0.03776072 0.03005544 0.02907416 0.03483765 0.02589036
 0.01599862 0.01447776 0.0130268  0.01121691 0.00767166]"
9.021885174399582,"[0.70938643 0.67080322 0.63650272 0.60255374 0.62311059 0.60913825
 0.58021702 0.51896502 0.46575434 0.42379434 0.4080054  0.34968133
 0.28472587 0.23296553 0.21675757 0.22839883 0.18853041 0.20090811
 0.18644506 0.16535308 0.13855086 0.12640679 0.10528363 0.09809051
 0.09886904 0.07019292 0.06028235 0.04351401 0.03969925 0.03169731
 0.03378291 0.03104411 0.03641564 0.03191716 0.03378946 0.03673334
 0.02348173 0.01413902 0.0090805  0.00732874 0.00856449]"
8.959621448544986,"[0.68590941 0.65148554 0.6014556  0.61003539 0.61588271 0.58002287
 0.60973233 0.54180623 0.47312431 0.39841536 0.37428894 0.3230791
 0.28298082 0.25949073 0.24087855 0.23625501 0.21900925 0.21315814
 0.1827577  0.15956037 0.13743343 0.1296073  0.09799613 0.07771315
 0.06886309 0.05755566 0.04693022 0.04548949 0.04306074 0.03721647
 0.04061922 0.03785666 0.03365767 0.0368388  0.03770773 0.04411847
 0.02826907 0.0154258  0.01276509 0.00889576 0.01045567]"
8.618370108838764,"[0.66859336 0.63446877 0.59144583 0.58590593 0.59013078 0.57165827
 0.57240891 0.51670618 0.43449873 0.35863907 0.34560618 0.32479869
 0.29283823 0.25234208 0.27343215 0.25588637 0.20230616 0.19006707
 0.18759687 0.1433783  0.12548378 0.11171772 0.08883641 0.0671204
 0.06059062 0.05081787 0.0501675  0.05304582 0.04748475 0.03115253
 0.03082428 0.03066719 0.02983619 0.03171405 0.03342644 0.04079053
 0.02824074 0.02307819 0.01164191 0.0093188  0.00800628]"
