AUC,Mean Deletion Errors for each Pixel
16.12037138297666,"[0.         0.02797399 0.0727365  0.17007723 0.22997789 0.23204123
 0.23278625 0.27202633 0.27748147 0.27371346 0.2814212  0.25741939
 0.24251097 0.23855651 0.24239108 0.23783763 0.25782882 0.27596498
 0.27506553 0.32219778 0.3315756  0.36186272 0.37384691 0.37290127
 0.4270085  0.43915042 0.48690666 0.52884614 0.56387639 0.59936479
 0.62393965 0.64925576 0.69816374 0.71563672 0.71523303 0.71349278
 0.68497489 0.67872681 0.70040249 0.68933045 0.69173484]"
15.960605603866764,"[0.         0.03607539 0.09488354 0.15865902 0.22234653 0.25123083
 0.22391095 0.21564566 0.19323325 0.16686311 0.15069618 0.17657719
 0.18426364 0.2001276  0.19893402 0.23134338 0.23010774 0.26968361
 0.26981281 0.32431075 0.3635952  0.35526528 0.35315588 0.38725236
 0.41465316 0.44322714 0.48778417 0.55157328 0.6002337  0.62938204
 0.68265861 0.70607927 0.74731008 0.75906427 0.78274381 0.76459726
 0.71020164 0.70317712 0.68794448 0.68553214 0.69293905]"
15.38387012135198,"[0.         0.03179923 0.08989832 0.11352686 0.16138142 0.21638675
 0.18902274 0.16063674 0.15715695 0.14562779 0.15673871 0.16880097
 0.19159529 0.21639073 0.23567    0.26863177 0.27711692 0.26164298
 0.23164061 0.23320761 0.24428332 0.27568704 0.26535589 0.3282053
 0.38581257 0.39638518 0.47704071 0.5679182  0.64426585 0.63986591
 0.68052309 0.7227587  0.75254229 0.76358229 0.77250674 0.78506734
 0.74989421 0.70098901 0.69291242 0.68684525 0.68911287]"
14.862402038929282,"[0.         0.02838386 0.07795038 0.09313429 0.1030475  0.13299895
 0.14552125 0.1503783  0.15846315 0.14961074 0.17312071 0.18378141
 0.18389734 0.22403623 0.22803302 0.25267984 0.28208754 0.26295747
 0.23315815 0.21609423 0.24828817 0.2280535  0.26734098 0.28306546
 0.30143219 0.36417562 0.45039111 0.5507285  0.61811546 0.64439268
 0.68411345 0.71352713 0.72966328 0.77624799 0.78333685 0.79290817
 0.76882295 0.70384946 0.67424519 0.66231307 0.67611292]"
16.094064545409942,"[0.         0.03730107 0.0847298  0.12092778 0.11766326 0.12199463
 0.16610236 0.18267398 0.15690727 0.16672143 0.21033095 0.21940149
 0.20123979 0.2384386  0.25522556 0.25564602 0.27787959 0.28662723
 0.2505184  0.26480725 0.28723122 0.28515063 0.34969563 0.35503313
 0.38664297 0.40650576 0.44762899 0.61163255 0.6817486  0.69164462
 0.72704385 0.75189191 0.7448464  0.78990191 0.81076397 0.83011915
 0.80877806 0.72658818 0.72193407 0.70906903 0.71015498]"
15.22544554754015,"[0.         0.02958012 0.05919943 0.09139021 0.09405028 0.10430832
 0.13951171 0.14767843 0.13728963 0.15432571 0.17286331 0.21421897
 0.18786835 0.20660798 0.23699315 0.23722424 0.26822229 0.26369553
 0.23709641 0.23084914 0.25574091 0.29626857 0.34432474 0.35994178
 0.34748041 0.38369749 0.46399899 0.57459735 0.63401261 0.67336427
 0.68543515 0.7401245  0.7324931  0.75813197 0.77773632 0.77062783
 0.77374236 0.7323728  0.7001055  0.6809932  0.65456496]"
16.018463698475184,"[0.         0.03786064 0.06935266 0.10277911 0.10469321 0.13593114
 0.13910353 0.15047554 0.12748278 0.15299688 0.18545137 0.20295462
 0.20106226 0.1955794  0.24219897 0.24433907 0.28831485 0.28790032
 0.24188706 0.26975815 0.26131634 0.31219326 0.36733677 0.38630498
 0.45954374 0.511453   0.53591086 0.61205606 0.63968694 0.65110246
 0.71392029 0.77450923 0.76404628 0.74234164 0.79546169 0.80378256
 0.77833085 0.7533852  0.72559377 0.70138938 0.69735374]"
16.695161650923097,"[0.         0.02768117 0.0582402  0.08872156 0.10530936 0.11816511
 0.11201594 0.13743868 0.12350678 0.18651264 0.2015196  0.20458515
 0.22259128 0.21012493 0.23138202 0.25536492 0.264623   0.27996741
 0.24351466 0.26995087 0.26126918 0.33186    0.40867199 0.51866386
 0.61269354 0.64274283 0.62135457 0.65662001 0.63845935 0.63788951
 0.7168012  0.75892486 0.77351437 0.75944124 0.81323034 0.80290161
 0.80083863 0.79434054 0.75892035 0.69664959 0.69631766]"
16.370144643352006,"[0.         0.02727457 0.06034947 0.07533593 0.09775736 0.11458819
 0.10674863 0.13145996 0.1350362  0.18343931 0.18298347 0.18841876
 0.19270046 0.20060394 0.23047081 0.2413731  0.24190478 0.25785589
 0.24171054 0.25367604 0.25785319 0.33736611 0.46529008 0.52101911
 0.57537687 0.62155264 0.61903656 0.64416535 0.63869529 0.64034694
 0.72512569 0.70967946 0.77154448 0.72905497 0.78904439 0.80161005
 0.78889346 0.77039813 0.76606924 0.69876527 0.67113995]"
17.09947503811273,"[0.         0.03225763 0.05999827 0.09033414 0.11503875 0.12333171
 0.11963371 0.14079556 0.16266373 0.19739126 0.20497859 0.20857267
 0.21173247 0.21842778 0.23720711 0.2610604  0.27417308 0.28786983
 0.24901916 0.29138654 0.27867866 0.39456668 0.58102145 0.60188047
 0.64274531 0.63945278 0.62684872 0.63348661 0.62822943 0.64315217
 0.73098917 0.73880715 0.76157164 0.74792034 0.78962257 0.79399068
 0.78077018 0.77687037 0.76912753 0.71239287 0.68295568]"
17.413423165869677,"[0.         0.01750585 0.04844729 0.07963549 0.11232914 0.11463977
 0.13142844 0.14360596 0.16365978 0.19789266 0.19783224 0.20242948
 0.20347245 0.21163987 0.2352216  0.24825724 0.26409498 0.27569492
 0.27540097 0.27545227 0.27302207 0.39005604 0.60741237 0.61601835
 0.6383229  0.65351903 0.67486181 0.69107571 0.67405487 0.64937684
 0.74496906 0.73961393 0.78216418 0.7619991  0.80971417 0.80223514
 0.81184675 0.82108022 0.79206463 0.73690657 0.68893803]"
