AUC,Mean Deletion Errors for each Pixel
11.111006393820768,"[0.         0.01202027 0.0147726  0.0456652  0.08435036 0.0819719
 0.09456502 0.10250541 0.12847182 0.12405728 0.13136688 0.14760353
 0.18636077 0.23900211 0.23750526 0.28021832 0.26604449 0.25327085
 0.20714209 0.27300873 0.316345   0.35598613 0.31705892 0.34241038
 0.39553156 0.42142023 0.46497589 0.35344676 0.3027612  0.31593835
 0.36105588 0.36413235 0.41470967 0.37660428 0.43070339 0.45747522
 0.4671157  0.43682845 0.44501268 0.50474416 0.71369455]"
11.020120084771989,"[0.         0.01063312 0.01747978 0.0438567  0.07428199 0.10148092
 0.1032672  0.10502947 0.10673739 0.10195018 0.11931621 0.14282446
 0.18326271 0.2114666  0.21224416 0.25361177 0.25562653 0.25988362
 0.20423292 0.27737976 0.31949051 0.35868925 0.37644097 0.36333925
 0.40334946 0.41275726 0.46239193 0.3776046  0.33920782 0.31774107
 0.28996909 0.34172312 0.36051762 0.41811266 0.43368171 0.4869916
 0.48538998 0.41729267 0.43557887 0.48613759 0.69829508]"
11.297000312196833,"[0.         0.01101273 0.01548855 0.0447582  0.08341793 0.09247755
 0.10061702 0.10494528 0.1160217  0.13217062 0.12875333 0.15282972
 0.17288864 0.24578916 0.25939296 0.25461133 0.28539019 0.26717842
 0.22733688 0.28539073 0.36930481 0.33677791 0.3154568  0.35428104
 0.42811397 0.42783904 0.4808177  0.40106902 0.37856219 0.33503689
 0.32690294 0.33886067 0.37677345 0.41637916 0.42103911 0.42171514
 0.4744491  0.43598982 0.4313423  0.49919537 0.6932459 ]"
11.107478174757281,"[0.         0.01102179 0.01624817 0.04075286 0.07813246 0.08131399
 0.09259332 0.09545743 0.12221775 0.12401858 0.11959835 0.13318353
 0.13814685 0.17549655 0.19922562 0.26351853 0.28455075 0.26945779
 0.23438109 0.28193504 0.33480432 0.29234466 0.31970817 0.35354914
 0.42321214 0.4363963  0.46864401 0.45571666 0.41945874 0.34588475
 0.33527505 0.33149069 0.35965202 0.42689889 0.44277202 0.40987675
 0.46881116 0.4370786  0.4502044  0.47637639 0.7161457 ]"
11.212894363737787,"[0.         0.01452806 0.01771438 0.0414991  0.08343886 0.10391318
 0.09819815 0.10960652 0.11800141 0.12331733 0.12952531 0.12411026
 0.1576432  0.16996507 0.27180192 0.25923249 0.25745504 0.24047455
 0.22942697 0.28743806 0.32594385 0.32848269 0.31262764 0.35785706
 0.43700826 0.42814444 0.46534307 0.39930658 0.33806163 0.33253516
 0.36362792 0.36420214 0.42807432 0.44151353 0.41214232 0.42966033
 0.44679438 0.44671375 0.46618649 0.51301203 0.67673389]"
10.853896312163071,"[0.         0.01503875 0.01600362 0.04792534 0.07750998 0.10310459
 0.10497362 0.11104311 0.11686157 0.12453728 0.12943436 0.13214559
 0.18428613 0.24086853 0.27304717 0.2275407  0.2247779  0.21668251
 0.26184379 0.28971601 0.30201968 0.26474332 0.28955924 0.34482606
 0.42754097 0.42220712 0.37571169 0.37591732 0.36680413 0.31871857
 0.3548041  0.3532432  0.38958033 0.39423496 0.43358    0.40732115
 0.42894052 0.43798033 0.44515949 0.4882154  0.67089635]"
11.475410463461383,"[0.         0.01460094 0.02422011 0.05358212 0.0838109  0.11533679
 0.12120226 0.12589969 0.12019358 0.1178992  0.13419076 0.13721525
 0.23932369 0.25220146 0.25176418 0.24890813 0.23286975 0.2243997
 0.27238819 0.29869404 0.30492628 0.30117627 0.31504466 0.38007087
 0.42441478 0.43545761 0.38126082 0.38962757 0.3773429  0.38213071
 0.38883664 0.38856868 0.41179834 0.41767569 0.43182229 0.42084862
 0.4333505  0.45321753 0.5145825  0.5013699  0.70637315]"
11.678659948834941,"[0.         0.01195973 0.01455103 0.04265223 0.07930935 0.10037806
 0.09902293 0.10073436 0.11376979 0.11494058 0.11795732 0.1312114
 0.15047293 0.17079273 0.21222323 0.25883764 0.29411573 0.29019949
 0.19491505 0.23807177 0.27251013 0.29038691 0.31182523 0.37014345
 0.48050036 0.48272937 0.48850116 0.47955628 0.47288658 0.41861391
 0.37307853 0.37546592 0.38836374 0.42558771 0.39884205 0.45574133
 0.42299955 0.47473665 0.54237185 0.67466422 0.68607929]"
10.497332857162004,"[0.         0.01078201 0.01541119 0.0306017  0.06171943 0.06326907
 0.08943318 0.09952231 0.1051678  0.10978899 0.13300967 0.16227584
 0.15160179 0.16394099 0.17034581 0.16047404 0.18243669 0.25845992
 0.27877734 0.2933468  0.27551487 0.31834086 0.3007733  0.34058652
 0.37829847 0.44016724 0.40090992 0.39231574 0.35077893 0.32315965
 0.33956929 0.34940263 0.34142155 0.38959307 0.42109171 0.4191539
 0.42632441 0.44714396 0.4546936  0.49411833 0.70722067]"
