AUC,Mean Insertion Errors for each Pixel
13.144779175676721,"[0.71415635 0.67832043 0.70627398 0.69244199 0.62626088 0.59432097
 0.58061042 0.55330935 0.48388943 0.47885073 0.42835957 0.43255909
 0.43391979 0.44132985 0.38662969 0.39663858 0.42142627 0.38536825
 0.39701509 0.35194615 0.28937663 0.27181137 0.25767317 0.29646077
 0.27262979 0.19298667 0.22300852 0.1913711  0.1805924  0.19412963
 0.17170405 0.14966061 0.12575931 0.09167985 0.09484913 0.10039832
 0.07741683 0.04664482 0.05762175 0.02873038 0.00745082]"
13.292198822647453,"[0.7046277  0.70884344 0.70808928 0.64559062 0.60447605 0.58321955
 0.57002208 0.56269993 0.51064201 0.46411373 0.40132914 0.41845214
 0.38340159 0.37673675 0.38763553 0.42070674 0.40906785 0.39447709
 0.38629082 0.33881338 0.35411054 0.30830909 0.2862903  0.31838785
 0.24963654 0.19928831 0.22275373 0.23540147 0.22865485 0.25735328
 0.21715345 0.17247476 0.13601492 0.10608441 0.08690985 0.09696302
 0.05566041 0.04532973 0.05676951 0.02666973 0.01012307]"
13.059140570767923,"[0.69608008 0.67156388 0.66989748 0.64744159 0.62225497 0.59337483
 0.56371466 0.5448981  0.51875566 0.44414746 0.40167947 0.43333636
 0.43753565 0.39652173 0.38368109 0.41409716 0.41935576 0.38382672
 0.38413937 0.33869246 0.32600573 0.32248944 0.26706333 0.26529832
 0.26169619 0.22953635 0.18737906 0.18718759 0.2031462  0.21300007
 0.18448389 0.16755319 0.13608523 0.09933106 0.09118513 0.10377218
 0.0795033  0.05025924 0.04296333 0.02012489 0.00824483]"
13.39210217468454,"[0.70574677 0.67230035 0.69934888 0.66690522 0.61494649 0.61845038
 0.54465756 0.51946351 0.42421459 0.41027428 0.42358549 0.42948061
 0.43230756 0.43056936 0.41642513 0.4265753  0.44837801 0.41778446
 0.39355652 0.38211724 0.33338679 0.32550615 0.26840195 0.28481912
 0.25251266 0.23297272 0.21353467 0.20818864 0.21675069 0.24610101
 0.20026553 0.17580418 0.14957743 0.12148532 0.09965738 0.10841331
 0.07833395 0.06302352 0.0556702  0.02914381 0.00867761]"
12.57922122370278,"[0.68579085 0.67957456 0.6890793  0.66220323 0.62690214 0.60165174
 0.54906812 0.46769789 0.40113944 0.38809429 0.41513341 0.40872772
 0.4074702  0.42757099 0.39013988 0.39364878 0.36390502 0.39012393
 0.3855761  0.37261243 0.31372943 0.26855845 0.23684824 0.26710082
 0.26292047 0.24787793 0.21983762 0.17796408 0.17292005 0.13251471
 0.11177364 0.10005768 0.10471773 0.10270834 0.08212219 0.10657823
 0.1166602  0.10506126 0.05245366 0.03000405 0.00719571]"
11.318508068691635,"[0.67985265 0.68847709 0.67809044 0.59963073 0.56369698 0.55417148
 0.44857326 0.43199403 0.44157079 0.41862488 0.40922833 0.38336642
 0.32567716 0.33140173 0.30626067 0.31776802 0.31530607 0.32051382
 0.32365639 0.25849498 0.23402834 0.24471617 0.28067804 0.26109832
 0.25420585 0.17780029 0.16129334 0.15420453 0.15050117 0.12075668
 0.10769698 0.08371044 0.09410525 0.08689478 0.09402471 0.10531549
 0.11224575 0.07146439 0.0436733  0.0197414  0.00784654]"
11.473236301527201,"[0.73194295 0.71560954 0.65076756 0.61796239 0.60265613 0.54634007
 0.52059345 0.50067987 0.47240165 0.44261612 0.43101824 0.39644348
 0.34144067 0.30882905 0.29305909 0.32040449 0.31068971 0.24888154
 0.24510961 0.2467823  0.24293803 0.26396589 0.29857005 0.26753808
 0.23724455 0.19317543 0.16862722 0.15678002 0.14271015 0.09562097
 0.09137207 0.08103115 0.1008446  0.09113844 0.08965386 0.1038194
 0.12612969 0.07063656 0.04634277 0.02246868 0.00874452]"
12.223067692405772,"[0.6863857  0.68580966 0.68663624 0.64177581 0.58277097 0.50399511
 0.445985   0.44035851 0.43213103 0.4472051  0.41616151 0.37219063
 0.36472828 0.35415394 0.37264599 0.40166235 0.36412819 0.37038889
 0.33032661 0.31767605 0.27922504 0.26850914 0.27879873 0.26338198
 0.24996184 0.24129668 0.22076354 0.2065065  0.21127848 0.21883832
 0.19971176 0.17292644 0.14586827 0.09989534 0.08412305 0.06955519
 0.04745972 0.03697136 0.03388081 0.01643527 0.00751506]"
13.097495757131975,"[0.71153481 0.69880612 0.6504637  0.62072612 0.58428305 0.56316027
 0.49628921 0.49866359 0.46428385 0.44257881 0.41083775 0.38452189
 0.42262146 0.44253191 0.46802099 0.4418559  0.4618178  0.43753985
 0.42008272 0.38567576 0.35336666 0.32168824 0.25000669 0.27397729
 0.30668094 0.27249126 0.23004969 0.17843218 0.13806946 0.11620769
 0.10681242 0.09522362 0.09018191 0.10706876 0.1070289  0.12839969
 0.14268171 0.14113172 0.05592269 0.02815647 0.00677927]"
