AUC,Mean Insertion Errors for each Pixel
7.342939955204224,"[0.71050768 0.72029033 0.66069133 0.60611775 0.53084077 0.45749947
 0.38842875 0.34257083 0.30302575 0.26811073 0.2409653  0.24060096
 0.20144757 0.20021579 0.22057715 0.17996739 0.16547231 0.14782853
 0.13496625 0.11575881 0.11515379 0.08033541 0.07478507 0.0717027
 0.06806057 0.05702658 0.04737304 0.03751302 0.04352804 0.04231396
 0.03660242 0.03740044 0.03512041 0.02299515 0.02042689 0.01815568
 0.01531118 0.01453544 0.01296696 0.00727432 0.00745854]"
8.296857107709066,"[0.67194    0.65729977 0.63741544 0.59096565 0.56140852 0.49338581
 0.42776618 0.38555703 0.36819273 0.3606461  0.34517595 0.30524759
 0.26171698 0.22919037 0.21101876 0.1853677  0.18496706 0.15766
 0.14780147 0.1505707  0.159389   0.1519671  0.12824122 0.12820426
 0.1140963  0.11415655 0.09938346 0.0847644  0.06499082 0.05217224
 0.03616756 0.02916939 0.02678427 0.02145841 0.02213374 0.01499104
 0.01503089 0.01157811 0.01065969 0.01053302 0.00732364]"
8.818061725610377,"[0.6866101  0.64316718 0.62406651 0.64619992 0.59001877 0.511262
 0.46829577 0.43004143 0.4167409  0.38291625 0.36896434 0.30086472
 0.27095721 0.23512233 0.2150736  0.19009765 0.17648723 0.16980819
 0.1721694  0.17884894 0.17583122 0.15659616 0.14053981 0.15160952
 0.14319327 0.12993161 0.10776918 0.0939082  0.07900335 0.04756087
 0.04305784 0.04140934 0.04017441 0.0345002  0.02444083 0.01977896
 0.01671216 0.01345847 0.01027497 0.00924402 0.00931994]"
8.778310164753382,"[0.69389621 0.66168792 0.64013804 0.68219051 0.59257968 0.48686238
 0.44010373 0.40285178 0.37891868 0.34802678 0.36293006 0.30977924
 0.26136024 0.24255459 0.20932065 0.17593242 0.16138099 0.16388027
 0.14084461 0.16837171 0.14711992 0.15961191 0.15763162 0.14947073
 0.14437502 0.1349534  0.12992319 0.11217174 0.09157102 0.07795411
 0.0539429  0.05009793 0.04592618 0.03438714 0.0319896  0.02401831
 0.0172223  0.01508293 0.01227902 0.00858768 0.00666225]"
8.013787915793618,"[0.67731846 0.65745884 0.60374059 0.63244454 0.57610188 0.47942263
 0.40030695 0.35048465 0.34151138 0.33563509 0.31747289 0.27828993
 0.23471233 0.20973373 0.16961171 0.13623302 0.11527606 0.11395277
 0.12505154 0.11860394 0.16147084 0.15141313 0.15780675 0.1252236
 0.11378239 0.12064158 0.11693925 0.0957516  0.09777574 0.07461812
 0.05313479 0.04065588 0.03259403 0.03054818 0.03320343 0.02638882
 0.01483254 0.01197436 0.00997431 0.00652966 0.00765044]"
7.458335570905163,"[0.66957054 0.65581003 0.59784092 0.58454318 0.54569645 0.46699543
 0.43372689 0.37340544 0.34365213 0.31691301 0.25102719 0.21982648
 0.17596595 0.12764838 0.12961313 0.12512314 0.09798103 0.09074797
 0.09907703 0.11671267 0.12589791 0.13852557 0.12955097 0.12956904
 0.11727871 0.09859243 0.10055992 0.10248838 0.08267362 0.06931376
 0.04757995 0.03349613 0.03113954 0.02809405 0.04062434 0.03085272
 0.0237331  0.01226474 0.01303633 0.01265164 0.00664196]"
7.375312180748075,"[0.68631386 0.66665275 0.59944176 0.56684697 0.52166661 0.50546061
 0.43285678 0.38625706 0.34317276 0.32274529 0.2336889  0.21315402
 0.15383055 0.12569309 0.12330403 0.09108525 0.0906053  0.10119154
 0.09696963 0.12080152 0.094496   0.13031845 0.13225462 0.12733527
 0.12193573 0.11019193 0.106511   0.092601   0.08496644 0.06050955
 0.04772974 0.03547876 0.03249659 0.02899315 0.03428454 0.03478403
 0.0251754  0.01331237 0.01085002 0.00825936 0.00849373]"
7.68456237745934,"[0.70323814 0.70682602 0.64686686 0.5975173  0.53444729 0.53372121
 0.46886985 0.38597932 0.3576436  0.32529496 0.25332981 0.21206197
 0.18768911 0.1500897  0.12486876 0.09156657 0.09957224 0.08396293
 0.09742664 0.11811078 0.10362048 0.12365833 0.13476697 0.13623301
 0.1215608  0.11800103 0.11241349 0.09649088 0.08279714 0.06053275
 0.03776936 0.03555882 0.03472426 0.03178558 0.03504842 0.03112846
 0.02353029 0.01395151 0.01265811 0.00650038 0.0087366 ]"
7.746730592834932,"[0.68510621 0.66282366 0.63007424 0.6215602  0.55653247 0.5545848
 0.48813817 0.41263038 0.38277503 0.33593647 0.24104432 0.22273993
 0.18124509 0.13994713 0.13340206 0.105033   0.09814435 0.09358931
 0.09596492 0.11796507 0.11232341 0.11433139 0.12356621 0.12368581
 0.11996109 0.12674706 0.10100701 0.09959248 0.07345881 0.0449113
 0.03025541 0.03190066 0.03273255 0.03883223 0.04404314 0.0400132
 0.03004244 0.01797158 0.00916886 0.00989063 0.01122323]"
7.976316032408821,"[0.70231087 0.66815126 0.65397513 0.6667908  0.60171801 0.54661133
 0.50544693 0.45378387 0.38688109 0.34794852 0.25969078 0.23087914
 0.16817032 0.14514092 0.12107694 0.10866233 0.10423724 0.08854245
 0.09621351 0.12497379 0.10718803 0.11715986 0.12194283 0.1117913
 0.13935087 0.11955373 0.11245343 0.09678114 0.08571049 0.05238255
 0.02717992 0.03528363 0.03308984 0.03610272 0.04428516 0.03647703
 0.02517598 0.02061049 0.01123757 0.00900668 0.00700603]"
