AUC,Mean Deletion Errors for each Pixel
17.989209119020952,"[0.         0.03767262 0.07904193 0.10289827 0.12230852 0.18221205
 0.21213025 0.22473607 0.26569746 0.29822139 0.34361057 0.36561521
 0.38529213 0.38171371 0.43087115 0.44605285 0.43533494 0.45234837
 0.47353352 0.46494348 0.47280782 0.4974989  0.45878175 0.4924326
 0.48227045 0.49596581 0.54236895 0.56080507 0.58248607 0.61735047
 0.62469225 0.62121833 0.64852663 0.67178551 0.6961437  0.69908592
 0.7001811  0.70021768 0.6940176  0.68197912 0.68871782]"
13.95162489770777,"[0.         0.02775165 0.06313396 0.1032462  0.14463976 0.1832708
 0.19792564 0.19520314 0.19052144 0.20143674 0.20838041 0.19472443
 0.18452499 0.17107164 0.17278293 0.1818947  0.16579993 0.17328356
 0.20875066 0.20418057 0.20915993 0.24877635 0.27648774 0.29430153
 0.31349867 0.34893516 0.38412209 0.40898273 0.46514904 0.53553759
 0.57621396 0.63320741 0.65724111 0.66738103 0.70458337 0.73781123
 0.77693575 0.74847264 0.72893263 0.71297955 0.70078447]"
13.336737504173403,"[0.         0.02901111 0.07076103 0.11680354 0.18204942 0.20372914
 0.22845857 0.22812497 0.25609819 0.20567117 0.18413381 0.17054685
 0.1542561  0.15232459 0.14030137 0.11457016 0.13399839 0.14445845
 0.15051811 0.1551817  0.18690321 0.19155761 0.22725725 0.27294857
 0.3059694  0.33029807 0.36067054 0.3776112  0.43656496 0.49232992
 0.53829771 0.59868522 0.63577572 0.69564111 0.69462367 0.71187902
 0.77927808 0.74167207 0.70607494 0.68573892 0.69192732]"
14.41879658160851,"[0.         0.0330205  0.09300784 0.13607682 0.18668405 0.216471
 0.26679584 0.27780055 0.27331031 0.22782052 0.20982104 0.18652199
 0.18839739 0.18152873 0.17306098 0.16646311 0.16059675 0.16415692
 0.18539747 0.1792808  0.19488697 0.20006129 0.2266298  0.27807359
 0.32166674 0.37440201 0.42236279 0.42610916 0.5084224  0.53397549
 0.55362415 0.57732494 0.6069895  0.67316692 0.74168115 0.77295743
 0.83250343 0.79785549 0.74609407 0.75369094 0.7402114 ]"
14.366334277630529,"[0.         0.03446116 0.08623375 0.12967196 0.21258461 0.28442123
 0.30016972 0.27809023 0.25060724 0.23507063 0.20102804 0.18549951
 0.17235204 0.17913957 0.19024689 0.18960625 0.18836393 0.18857124
 0.20131925 0.20425915 0.21758991 0.1996951  0.19074227 0.20313833
 0.26799167 0.32728753 0.40495077 0.40695706 0.47730521 0.48944511
 0.54370264 0.57721549 0.59798584 0.67165499 0.82244153 0.8168421
 0.81806995 0.79674451 0.76136276 0.70029042 0.72644936]"
14.520232029494803,"[0.         0.03010014 0.08057857 0.11913833 0.18599622 0.26557104
 0.25654062 0.26027049 0.23226757 0.21311707 0.19455108 0.18174436
 0.17384503 0.17711027 0.21102464 0.21930436 0.2299038  0.23431356
 0.21803865 0.22308501 0.19706886 0.19346787 0.21246641 0.22863013
 0.2413089  0.28800865 0.38634714 0.44859975 0.46718666 0.48188143
 0.54162877 0.56774961 0.60269328 0.69257543 0.85695994 0.8803095
 0.85765363 0.82670889 0.77796542 0.71620039 0.69664117]"
14.332694715260608,"[0.         0.03199211 0.06316596 0.11688506 0.16216792 0.2014071
 0.24270743 0.25324804 0.24310486 0.1855892  0.1536406  0.14058458
 0.16601454 0.17468878 0.23517839 0.23074458 0.2404634  0.23794636
 0.2244941  0.23859513 0.21446798 0.18866586 0.2080404  0.20754303
 0.25875123 0.28329193 0.36092526 0.43871017 0.46911783 0.49367351
 0.5685235  0.53840086 0.62962521 0.7186099  0.821653   0.87099542
 0.87097662 0.82112783 0.78124609 0.70493642 0.68158903]"
14.717379763375185,"[0.         0.02587216 0.06202404 0.09761104 0.12366615 0.14406163
 0.18690441 0.2041225  0.26239052 0.18646138 0.15591174 0.17313092
 0.17915238 0.2169042  0.22800033 0.21419016 0.22231117 0.21037408
 0.21482499 0.22165486 0.20711743 0.21774946 0.23440781 0.22832149
 0.24061685 0.27068385 0.33874107 0.43546466 0.47262744 0.49646969
 0.67127929 0.7068852  0.75300435 0.76620518 0.84326155 0.89423385
 0.86021647 0.86730173 0.82174939 0.71303988 0.69686892]"
14.87202897868232,"[0.         0.02264276 0.05280064 0.0704574  0.09480093 0.13034751
 0.16974348 0.22032414 0.21875417 0.20342032 0.18618778 0.19190511
 0.20773337 0.21981393 0.23695319 0.21821231 0.2123562  0.21133628
 0.21071519 0.22925292 0.2244569  0.23370736 0.24966284 0.24881387
 0.27527913 0.29281389 0.33130207 0.38991846 0.45857547 0.52791225
 0.71284593 0.73040741 0.77930397 0.78156647 0.84182689 0.8816903
 0.88393933 0.85281389 0.79530333 0.72239127 0.69948066]"
15.082603867940053,"[0.         0.02942044 0.06233475 0.07928005 0.095789   0.129631
 0.16519513 0.19634802 0.20984548 0.20789939 0.20664891 0.21546141
 0.23880698 0.22994514 0.24274085 0.22164532 0.22786957 0.23174886
 0.21380302 0.231016   0.24191927 0.26529424 0.28057113 0.26307852
 0.27902982 0.29285506 0.33751013 0.39906844 0.47258368 0.50292727
 0.71375997 0.72067942 0.78957105 0.79979478 0.81995279 0.87383427
 0.86470222 0.85269211 0.80429657 0.72896674 0.68817409]"
