AUC,Mean Deletion Errors for each Pixel
15.521037327282574,"[0.         0.03539608 0.07632937 0.11878894 0.15812889 0.19106331
 0.21459528 0.23743001 0.2603671  0.22877552 0.2645588  0.24157432
 0.21874414 0.2058282  0.1941387  0.21819686 0.24134595 0.23918607
 0.2313546  0.24916845 0.28838636 0.35085628 0.36397954 0.36701599
 0.39137488 0.42501914 0.44418667 0.50294492 0.53921174 0.58711007
 0.61702978 0.66070424 0.69420284 0.71370266 0.72189373 0.72409515
 0.7482496  0.76115523 0.72403141 0.71839781 0.70503744]"
14.415690783638528,"[0.         0.02717685 0.07484905 0.10890194 0.12044083 0.15125668
 0.18343094 0.24093611 0.21903825 0.22543046 0.23931287 0.22428334
 0.21826621 0.21865775 0.20900189 0.2203388  0.22103199 0.24234407
 0.22633501 0.21470433 0.20090583 0.17449853 0.22717443 0.26319112
 0.28382953 0.33322767 0.41666489 0.47415777 0.57645463 0.62392532
 0.65404473 0.64876904 0.68201109 0.67903412 0.68062271 0.6987377
 0.69624642 0.72982613 0.73149639 0.71348813 0.6832945 ]"
13.294641975564831,"[0.         0.02245646 0.0528606  0.0981943  0.13306179 0.18202386
 0.19171288 0.20413184 0.19450243 0.19663778 0.21386817 0.22041769
 0.20424136 0.21004735 0.24058086 0.23779054 0.27058584 0.29773913
 0.27400859 0.29253792 0.30881521 0.28547585 0.30115104 0.31906561
 0.34577051 0.3533769  0.37944245 0.46143564 0.43895377 0.47221749
 0.45943185 0.50312184 0.54248185 0.54013741 0.54439458 0.55922093
 0.55203453 0.5622093  0.60510609 0.67581191 0.69517571]"
12.999794981527064,"[0.         0.02474602 0.05471257 0.09808255 0.1201128  0.15047681
 0.19210906 0.23729282 0.22756775 0.21011779 0.25013113 0.24601092
 0.21036302 0.20909851 0.19783542 0.20761695 0.20020529 0.19523015
 0.19501997 0.20676486 0.23011635 0.24697691 0.25856458 0.27715076
 0.30898715 0.34181286 0.3901738  0.39499511 0.42549388 0.42591074
 0.40180038 0.41128032 0.44271533 0.45581416 0.514805   0.6261294
 0.72630284 0.80163214 0.77723199 0.75276179 0.71129018]"
13.642412200000319,"[0.         0.01856616 0.03440569 0.06158154 0.07427833 0.11159043
 0.13052518 0.13529877 0.14813709 0.14089198 0.14810415 0.16310125
 0.18414986 0.178333   0.19624863 0.18447511 0.21383555 0.20688134
 0.21079315 0.23926325 0.24700928 0.29228553 0.33614414 0.37874321
 0.40698942 0.43196167 0.46617053 0.49240875 0.50958157 0.53426261
 0.5560023  0.57335991 0.60350126 0.61571612 0.63533391 0.67420856
 0.67480528 0.69720219 0.71340421 0.67548351 0.69475555]"
15.125882483077222,"[0.         0.02437053 0.04981712 0.07402028 0.09621046 0.12408697
 0.13678555 0.15190027 0.16252433 0.15319488 0.17373208 0.19357095
 0.20635185 0.22044809 0.2392148  0.27759354 0.29949701 0.31154381
 0.30044822 0.31704218 0.34341396 0.35698891 0.39124274 0.3939928
 0.42843554 0.45915079 0.46870159 0.51027609 0.5621351  0.57452458
 0.61044112 0.63358609 0.64834509 0.65348733 0.66522221 0.67033083
 0.72139079 0.72801789 0.72360211 0.71979051 0.700907  ]"
15.772984909823082,"[0.         0.01341505 0.03704619 0.05078084 0.07902923 0.10834343
 0.12360552 0.12814708 0.16187359 0.1705109  0.19177994 0.21571314
 0.24067465 0.25734568 0.27530493 0.29101945 0.33412282 0.35038968
 0.37271313 0.41810091 0.42767384 0.44574357 0.47544837 0.49489469
 0.52163254 0.53784131 0.55618744 0.53864191 0.54258063 0.57858086
 0.57827255 0.60190218 0.62868757 0.64191856 0.65794684 0.66712061
 0.65046775 0.6828795  0.70414179 0.6752759  0.69046063]"
14.766005782959652,"[0.         0.01798157 0.03096147 0.04483021 0.06424028 0.08403674
 0.10730984 0.12572448 0.14642372 0.16362418 0.17617031 0.18195507
 0.1823865  0.21360763 0.2513538  0.25532673 0.2851387  0.3034931
 0.32624304 0.34470062 0.40721181 0.39315493 0.39276471 0.41789964
 0.42326555 0.44907059 0.46115184 0.49450793 0.54189766 0.56106905
 0.58197843 0.60522544 0.6187937  0.63338646 0.6605051  0.69511078
 0.69928565 0.69762492 0.69163995 0.69338117 0.68314494]"
15.5034644052637,"[0.         0.01316436 0.03544215 0.05292434 0.08150635 0.09461221
 0.12226166 0.12216103 0.15506078 0.154803   0.16976765 0.1978701
 0.22705588 0.23021211 0.26449921 0.27318641 0.29467502 0.32434844
 0.36197156 0.37612323 0.41008399 0.43174854 0.46877342 0.4792137
 0.49300676 0.50039702 0.51989289 0.54710745 0.56476225 0.57986846
 0.60325159 0.62840637 0.62052468 0.66656867 0.65254796 0.66069111
 0.69154833 0.69916509 0.69952962 0.68981518 0.68983167]"
