AUC,Mean Deletion Errors for each Pixel
13.08535181221658,"[0.         0.01790649 0.02575267 0.04956544 0.07619832 0.09748075
 0.099125   0.093878   0.08622571 0.10838605 0.11004178 0.14569976
 0.16119175 0.17338871 0.22615902 0.25906468 0.29907835 0.33159833
 0.34111292 0.39552821 0.41709902 0.42592895 0.41224112 0.42148262
 0.51368295 0.43658184 0.45307977 0.43525458 0.4394843  0.43662401
 0.43298363 0.39005463 0.37240568 0.40062482 0.44138882 0.51786739
 0.53422632 0.62531951 0.78391532 0.75691964 0.68160989]"
13.727124110979062,"[0.         0.02697067 0.04085575 0.04891033 0.07665056 0.09067864
 0.09736759 0.09832726 0.12146912 0.13721493 0.16891946 0.16301073
 0.17231572 0.21094472 0.23735692 0.27592935 0.30166922 0.3307529
 0.37462964 0.40188515 0.40335569 0.4359968  0.45834682 0.46627604
 0.44927689 0.49872193 0.45390605 0.42304674 0.46906412 0.49084034
 0.48072059 0.43194788 0.39832599 0.44070383 0.41606913 0.51069863
 0.59472237 0.63193121 0.76844697 0.7779557  0.70182341]"
12.67011577495199,"[0.         0.02176453 0.03835439 0.059087   0.08581799 0.09042102
 0.10757885 0.09599016 0.08566999 0.10467979 0.14339853 0.15307186
 0.16784003 0.21496915 0.25493747 0.30047024 0.32333527 0.36466336
 0.38181341 0.38391618 0.40643017 0.3959046  0.42555041 0.40501028
 0.40849131 0.40776539 0.40936697 0.44108873 0.46177693 0.48067965
 0.41643415 0.4022571  0.37272232 0.37588291 0.39911803 0.39169868
 0.4920623  0.50220093 0.66371459 0.70020524 0.66795173]"
13.869336018442462,"[0.         0.02044503 0.03751969 0.06328781 0.07382185 0.09052359
 0.09456985 0.08364202 0.09469691 0.13796655 0.16641624 0.16653799
 0.1825166  0.20333191 0.21480335 0.26284385 0.29938923 0.35865408
 0.38432957 0.43105289 0.44468063 0.42934393 0.42189329 0.4607676
 0.44142545 0.53782887 0.46021313 0.43692673 0.46828384 0.49658931
 0.4395712  0.40476387 0.40580973 0.39672844 0.4327024  0.55104101
 0.6970805  0.64843589 0.82171602 0.75042156 0.71352719]"
13.060068601370759,"[0.         0.01520465 0.0349629  0.06685674 0.08659426 0.10178596
 0.10999363 0.09960632 0.08024011 0.10963485 0.14401832 0.15911652
 0.16829972 0.18530296 0.219463   0.26184122 0.3012415  0.37770298
 0.41891789 0.43621884 0.41865381 0.41834553 0.38435782 0.384576
 0.38906501 0.38206396 0.40359309 0.43033171 0.4865356  0.46011078
 0.39853905 0.35146606 0.36454255 0.36919289 0.43374296 0.5070126
 0.6144312  0.61324107 0.80516127 0.73006152 0.67608353]"
12.269544410378462,"[0.         0.01508442 0.02893293 0.05409924 0.08734444 0.10216941
 0.12720494 0.11866922 0.11114084 0.11334542 0.10920385 0.11847781
 0.13324488 0.17231709 0.22725053 0.27484836 0.30855469 0.30879437
 0.34174108 0.36884262 0.38091474 0.40713482 0.43781823 0.43992072
 0.42761281 0.43312317 0.4155194  0.45309578 0.44387275 0.39493666
 0.38554569 0.37529095 0.40938126 0.44758527 0.47943258 0.46446036
 0.44033334 0.46617778 0.50927248 0.59996964 0.67375968]"
11.852527065146411,"[0.         0.01285812 0.02265758 0.04483361 0.07853033 0.09409647
 0.11744087 0.10651618 0.11564148 0.10972694 0.10160214 0.13282136
 0.13845774 0.1594015  0.18954642 0.23953442 0.29299704 0.31989308
 0.32158728 0.37767086 0.3404625  0.38741036 0.3527948  0.4050941
 0.42231887 0.42471455 0.44610894 0.4417832  0.4611709  0.4615155
 0.48701837 0.44235644 0.4057511  0.41320272 0.45919086 0.43382393
 0.41419814 0.42648435 0.41664028 0.49052754 0.68829237]"
14.256384533014636,"[0.         0.01572645 0.0330523  0.04498735 0.0556943  0.07624957
 0.0886766  0.11261736 0.1267518  0.14147138 0.15347664 0.16771772
 0.18215251 0.1980326  0.1991483  0.23355616 0.24671132 0.27994011
 0.29357011 0.29745016 0.35333692 0.41374053 0.48108393 0.58269568
 0.61469098 0.61360305 0.57717221 0.68933964 0.49364583 0.51635672
 0.46484978 0.4441163  0.51024374 0.48894075 0.50461793 0.49165024
 0.48588699 0.670501   0.80544311 0.75702197 0.70092901]"
14.31737336815243,"[0.         0.01743381 0.03269526 0.05193797 0.07375594 0.07363349
 0.07999366 0.09480232 0.09219563 0.09719041 0.09979644 0.10786264
 0.12014978 0.1393405  0.18796856 0.22513147 0.27764181 0.33663702
 0.34501713 0.43396501 0.41740763 0.41856782 0.46059279 0.4705113
 0.45058111 0.46639075 0.48908706 0.55297675 0.57493545 0.5900028
 0.63863481 0.62470927 0.59876915 0.59649713 0.61382601 0.58319084
 0.60372213 0.59470175 0.67069231 0.67670096 0.67545339]"
