AUC,Mean Insertion Errors for each Pixel
11.909328854917916,"[0.6875389  0.69171713 0.64497628 0.63561105 0.57051828 0.60102012
 0.57006883 0.49808602 0.54342424 0.53861621 0.56557966 0.48672695
 0.48748164 0.41250912 0.42137415 0.37286631 0.3496657  0.33388228
 0.29286953 0.26025743 0.22774375 0.21379927 0.15349835 0.15164073
 0.14225877 0.14936836 0.15278485 0.16999062 0.16166956 0.12871406
 0.11970627 0.11344567 0.1133133  0.08599507 0.05643905 0.04967962
 0.03851669 0.03124214 0.01226215 0.01152952 0.00942131]"
11.323525110921574,"[0.69514601 0.66260743 0.64866521 0.59812424 0.55445104 0.55782675
 0.57385339 0.58889356 0.54885431 0.53223985 0.50183137 0.46930345
 0.4406175  0.39489464 0.38895469 0.3829531  0.30280499 0.31388084
 0.26760897 0.23694424 0.22585707 0.21076002 0.16344248 0.13655491
 0.11188775 0.0957573  0.09501231 0.1089626  0.1222777  0.13172922
 0.11908658 0.11066636 0.09703632 0.07328858 0.05733699 0.04699453
 0.04278121 0.03119547 0.01486419 0.0109849  0.00833205]"
11.665534333209257,"[0.66076435 0.63095451 0.66126918 0.58427075 0.53286727 0.54437044
 0.52831342 0.49987798 0.51154111 0.51717333 0.52716486 0.53058124
 0.49130976 0.45584513 0.41912314 0.40067417 0.38017364 0.33650489
 0.25110222 0.25270654 0.22811219 0.17044361 0.16384658 0.14429374
 0.13369433 0.1468998  0.15029961 0.16390548 0.14755896 0.15298946
 0.12618659 0.11454052 0.11858937 0.09114926 0.06461926 0.05040964
 0.04401311 0.03488191 0.01621119 0.01278523 0.00779746]"
12.166037967987739,"[0.70795201 0.66968131 0.64567927 0.6173435  0.57352992 0.59159449
 0.60630848 0.61461338 0.55116085 0.55442865 0.53059472 0.53788882
 0.52425769 0.47763445 0.44052497 0.40658279 0.32790375 0.30900253
 0.30978181 0.28291923 0.27732325 0.22374204 0.19673218 0.1496932
 0.12575217 0.0899412  0.11054371 0.1171045  0.15146492 0.14001873
 0.13247608 0.12515476 0.11799393 0.07928202 0.05572241 0.05243726
 0.03584721 0.03013678 0.01490463 0.00956384 0.00959303]"
11.342996435149463,"[0.70221425 0.66606393 0.62518904 0.56924832 0.53929222 0.59139413
 0.54122955 0.54759144 0.51913933 0.51438424 0.55024297 0.52556793
 0.46180937 0.4268334  0.39514281 0.3549332  0.31412193 0.30611736
 0.28547125 0.25163871 0.22216342 0.18299587 0.15441835 0.13396401
 0.1198034  0.1135969  0.12101801 0.12246708 0.12448281 0.13271094
 0.13031521 0.10954623 0.10594866 0.06022387 0.04824004 0.03926263
 0.03288581 0.02377377 0.01533047 0.00916603 0.00832929]"
11.722326264987156,"[0.70402377 0.68465222 0.57033377 0.55180146 0.58291884 0.58953347
 0.54739106 0.52074631 0.54264938 0.55495122 0.51585535 0.47240185
 0.45088918 0.405068   0.36032496 0.3316707  0.30497116 0.29573277
 0.27258445 0.28015173 0.20754615 0.18803252 0.19112224 0.1829901
 0.18209503 0.17967365 0.20328745 0.18506014 0.17758563 0.17463909
 0.14786731 0.10577534 0.08979794 0.08213974 0.06602619 0.04910627
 0.05316451 0.0327754  0.01971782 0.013536   0.00749599]"
15.171549307393073,"[0.67795769 0.69614422 0.6790517  0.61375042 0.60114869 0.59491288
 0.61188277 0.59632073 0.57102156 0.56554991 0.57571149 0.56362929
 0.54572093 0.56346895 0.51939331 0.47525358 0.4675152  0.45677736
 0.43436937 0.43857196 0.4196842  0.44269246 0.43376302 0.39514075
 0.36961953 0.28558982 0.26046839 0.23523691 0.2131197  0.21567234
 0.20781281 0.20998136 0.15255446 0.10750195 0.08147234 0.05885932
 0.0470055  0.05059331 0.0450461  0.02576565 0.00959242]"
12.197673007399274,"[0.70533907 0.67921925 0.67692074 0.63770371 0.58165056 0.56715853
 0.54654837 0.62632527 0.60527816 0.59438933 0.49659403 0.46548145
 0.42584064 0.40230722 0.39464353 0.3852824  0.40561153 0.37583387
 0.33552002 0.33038089 0.30744108 0.27575635 0.24905803 0.20960121
 0.17058769 0.14802416 0.12819672 0.10264805 0.09173027 0.086842
 0.08067723 0.06984195 0.09110976 0.09186208 0.06572898 0.05518666
 0.03798677 0.01941337 0.01641108 0.01033455 0.00775194]"
15.233094245890017,"[0.67258024 0.68611311 0.71821267 0.72630704 0.72299555 0.7259552
 0.70396482 0.67248961 0.64230547 0.6521865  0.65554177 0.66547837
 0.64794306 0.62495085 0.58096444 0.55477702 0.53925957 0.52064336
 0.48172669 0.40809498 0.41283836 0.39610116 0.32531693 0.29085174
 0.27280131 0.21758451 0.18153851 0.14920676 0.1323816  0.09845123
 0.09385093 0.07903088 0.07329762 0.0510269  0.05314896 0.04590859
 0.03291749 0.02816319 0.01784105 0.01070848 0.00785563]"
