AUC,Mean Insertion Errors for each Pixel
8.271375481969063,"[0.69546515 0.64290361 0.5865915  0.50496525 0.45317081 0.40934832
 0.41159202 0.3803358  0.38015417 0.34082356 0.31272102 0.30074514
 0.28032938 0.26296072 0.25451999 0.23218673 0.20631368 0.20985043
 0.19388019 0.16590041 0.15851254 0.14328651 0.13029549 0.10947268
 0.1078895  0.11682138 0.10196751 0.08524133 0.07327006 0.06259606
 0.05941282 0.05108584 0.04543706 0.03718044 0.0245597  0.02114179
 0.02043843 0.01730344 0.01426131 0.01029115 0.00777027]"
7.620776545816472,"[0.67466408 0.65054503 0.59330684 0.471195   0.38317694 0.32090718
 0.3382314  0.34701411 0.35691937 0.34302588 0.32369153 0.33844511
 0.3106382  0.29417565 0.25179297 0.2288606  0.2117683  0.17745404
 0.14534619 0.12934383 0.11235606 0.10682856 0.09123846 0.0918704
 0.07975036 0.0838246  0.06749352 0.06419598 0.05570026 0.05397426
 0.04388003 0.04201804 0.03929238 0.03060756 0.02504237 0.02045827
 0.01893694 0.0134729  0.01181841 0.01134491 0.00700413]"
7.0783442438123565,"[0.68711149 0.64507435 0.58147079 0.46002338 0.38214661 0.29786736
 0.32598791 0.31147844 0.32423265 0.32661283 0.27127623 0.27584677
 0.2473768  0.22757806 0.19929018 0.20072073 0.17344354 0.16087806
 0.13595616 0.12614177 0.11741132 0.1201829  0.09963948 0.08694232
 0.08157733 0.06747087 0.06625304 0.06693526 0.04813961 0.05428763
 0.04196586 0.04629533 0.03713304 0.02800544 0.0254087  0.01848013
 0.01610632 0.01607391 0.01083977 0.00777443 0.00892639]"
7.048622951427527,"[0.72003179 0.665781   0.61267555 0.49877394 0.39265184 0.30957165
 0.31716185 0.33308562 0.32966936 0.27948761 0.27672163 0.24810442
 0.22447409 0.19517377 0.16064223 0.15130201 0.14948499 0.16078433
 0.13728273 0.1448704  0.13523197 0.1363924  0.11323063 0.09676157
 0.07520287 0.07128568 0.06649502 0.06017801 0.05818591 0.05765378
 0.04682034 0.03746871 0.02957162 0.02375313 0.0200315  0.01692937
 0.01528854 0.01377579 0.0124395  0.00945472 0.0095139 ]"
7.128886250199135,"[0.71839874 0.65301638 0.57630243 0.47877189 0.39795626 0.32700983
 0.33430381 0.3238388  0.29972846 0.29479099 0.27842712 0.24830944
 0.23681907 0.1997849  0.16810448 0.14798337 0.1524     0.16234633
 0.15204594 0.14532692 0.14186054 0.14099766 0.11508548 0.09571637
 0.07163289 0.07217672 0.0754399  0.06518804 0.06295413 0.05606071
 0.05271618 0.04636884 0.03696242 0.03369915 0.03359453 0.02405305
 0.02190255 0.01497386 0.01613967 0.01139187 0.00701188]"
6.473705699950385,"[0.69316575 0.62320341 0.54394789 0.45099326 0.38618199 0.29111696
 0.31726403 0.28996295 0.25641845 0.2674726  0.23374436 0.2351877
 0.20464898 0.19038067 0.16657089 0.14178938 0.13001508 0.15096521
 0.1294684  0.13115006 0.10237926 0.11074335 0.09594279 0.07904234
 0.07077251 0.0776773  0.06595125 0.06209723 0.05399246 0.06044088
 0.03774217 0.03705549 0.02457417 0.01801505 0.01579988 0.01636558
 0.01863304 0.0136534  0.0101077  0.01134228 0.00862484]"
6.597802036625994,"[0.6875525  0.63894962 0.56683285 0.46058684 0.38132471 0.30860259
 0.30317097 0.28778075 0.25697756 0.22597017 0.2264103  0.22719892
 0.19595177 0.18447305 0.15906952 0.16031639 0.16260836 0.14553955
 0.1444393  0.13459473 0.10840419 0.10803545 0.09748035 0.09457489
 0.07179838 0.07796062 0.06922113 0.07065897 0.06031816 0.05950351
 0.04441444 0.04054511 0.02843459 0.02458302 0.02450656 0.02783868
 0.02419243 0.02077968 0.01489624 0.01150551 0.00715191]"
6.31204407677302,"[0.68259926 0.57555105 0.51519791 0.39974887 0.33943048 0.30448723
 0.27603891 0.24480738 0.23016349 0.20422635 0.19911998 0.19437086
 0.20416518 0.19425674 0.18444708 0.15166086 0.16062296 0.154564
 0.14769444 0.14022415 0.11565665 0.1049799  0.09280117 0.08558395
 0.08658892 0.08419571 0.08259456 0.07449047 0.06770095 0.06791261
 0.05314256 0.04393389 0.03048532 0.0316883  0.02939174 0.02672921
 0.0228847  0.01582177 0.01521748 0.01354757 0.00923824]"
5.980621499496898,"[0.68735249 0.48917596 0.48115021 0.39519391 0.35759262 0.30805093
 0.25841027 0.23205032 0.21267014 0.20254293 0.18718029 0.20256152
 0.18591227 0.18628336 0.18042655 0.1529352  0.15074363 0.15209194
 0.14732113 0.1097848  0.09767137 0.08989709 0.0864286  0.09688441
 0.08148514 0.07069356 0.07596358 0.06823765 0.05542712 0.04801842
 0.05096414 0.04213577 0.03212874 0.02797991 0.02532629 0.02692799
 0.02004264 0.02053848 0.01195429 0.01234422 0.00763571]"
6.212512041593689,"[0.7308023  0.52587942 0.50677418 0.40953729 0.38841094 0.31530873
 0.25412792 0.22690198 0.20969042 0.19635631 0.19407741 0.19880776
 0.20603809 0.19622504 0.17829159 0.17011813 0.15294903 0.15234664
 0.15064392 0.13059556 0.11049539 0.09742586 0.08435545 0.08953036
 0.09556782 0.08363096 0.07256529 0.06053925 0.06125533 0.05209041
 0.05313304 0.04250224 0.02804937 0.03332152 0.02853401 0.0240636
 0.02256161 0.01709213 0.01153301 0.01086504 0.0098377 ]"
6.04546778251054,"[0.69722619 0.51720158 0.49241142 0.40345669 0.35650757 0.30906981
 0.2445196  0.21760889 0.20868297 0.20295753 0.18055923 0.17181884
 0.18210893 0.20396949 0.17793649 0.15829877 0.13446682 0.14868559
 0.13883146 0.136692   0.10011545 0.08745661 0.08463229 0.09716331
 0.09517126 0.08751849 0.08053874 0.06818144 0.06662091 0.05951833
 0.05920782 0.04735784 0.03149548 0.03695322 0.02327605 0.02530473
 0.01889618 0.01268342 0.01236849 0.01224821 0.00872548]"
