AUC,Mean Deletion Errors for each Pixel
18.813763629845894,"[0.         0.03544404 0.09255903 0.12169027 0.17527913 0.27412133
 0.24974276 0.25662412 0.25594267 0.22009005 0.24540161 0.26980061
 0.26044908 0.25179183 0.28437556 0.29053142 0.34161072 0.38661093
 0.42641577 0.51244701 0.54026679 0.56935748 0.63480064 0.66388286
 0.66479668 0.66526735 0.66869956 0.64878484 0.64195009 0.67393147
 0.67084486 0.68167704 0.71828487 0.71126073 0.73194624 0.74730902
 0.7564839  0.72307548 0.71675268 0.68890664 0.6891129 ]"
19.184413764572444,"[0.         0.02932806 0.05765857 0.11158966 0.20027541 0.33101737
 0.27654879 0.29044142 0.2824158  0.2628417  0.27077473 0.29452542
 0.29474981 0.31193288 0.30862535 0.33604345 0.38239103 0.43624358
 0.48551255 0.48948032 0.52573246 0.54293459 0.5684417  0.61190111
 0.65443987 0.68030008 0.70457436 0.71149505 0.71171486 0.71664167
 0.71783359 0.71066993 0.7066924  0.70253293 0.69822234 0.68689937
 0.67572596 0.65911233 0.68910283 0.70161713 0.71086666]"
15.684940203344375,"[0.         0.02927164 0.05314502 0.09380389 0.167698   0.25231631
 0.24933931 0.26310643 0.25723056 0.26364741 0.24574282 0.28414629
 0.30005375 0.29666355 0.30092677 0.2892279  0.27122034 0.30594391
 0.318791   0.32775875 0.33842537 0.35833409 0.39335464 0.40049268
 0.40612158 0.38862373 0.41884367 0.42489009 0.44239589 0.48087642
 0.55019826 0.58726969 0.62078281 0.67988503 0.74615507 0.72052043
 0.72869621 0.6841473  0.69597901 0.70767645 0.68247625]"
15.283848709871258,"[0.         0.02596058 0.04548903 0.07515988 0.12716159 0.20590534
 0.21567612 0.24708469 0.22714592 0.2401707  0.25601362 0.25104473
 0.24840687 0.2607657  0.31646759 0.33682034 0.33440206 0.34597349
 0.32518054 0.34280398 0.36096874 0.37187546 0.39010929 0.39346247
 0.39524843 0.40981053 0.41967974 0.4349984  0.44296321 0.4920602
 0.48577087 0.50584965 0.56391369 0.60233501 0.6229835  0.65327187
 0.74223436 0.74870742 0.73611349 0.73480435 0.69811053]"
17.298807827324218,"[0.         0.03339286 0.06233584 0.09577848 0.14218663 0.23131154
 0.22832505 0.2577113  0.30000357 0.28300927 0.29222002 0.2788553
 0.28795811 0.28683436 0.31037965 0.28276282 0.29989804 0.32275851
 0.34112385 0.32458159 0.35613283 0.3955534  0.39105902 0.42884773
 0.45906868 0.47303384 0.54031461 0.55995244 0.60687265 0.62879167
 0.66464127 0.74992066 0.78590536 0.78255677 0.77300368 0.763538
 0.74931821 0.74113794 0.74229806 0.70379178 0.68328488]"
14.051948044485034,"[0.         0.0182149  0.02596238 0.03907925 0.07075632 0.09193531
 0.10147183 0.14757724 0.15884387 0.16759547 0.16747234 0.1807076
 0.2032098  0.23161694 0.23919656 0.26403139 0.28704303 0.30959982
 0.34810105 0.33149465 0.34483166 0.37574662 0.38236485 0.37638295
 0.4112037  0.4426269  0.45062071 0.47833484 0.48570462 0.49749206
 0.52811657 0.56490717 0.56468782 0.56531112 0.5937505  0.63225865
 0.63362746 0.65669918 0.65259258 0.68465168 0.69225334]"
12.930727286753564,"[0.         0.01460928 0.02478678 0.0423209  0.05672677 0.07024282
 0.08115902 0.09706268 0.11890989 0.12428322 0.13737266 0.14514174
 0.18480317 0.17890459 0.2173484  0.22644522 0.23429118 0.25941391
 0.28428623 0.2899999  0.31300194 0.32306558 0.34226716 0.36187454
 0.3801205  0.4041285  0.4246668  0.43448211 0.46306107 0.49095298
 0.47091055 0.47482065 0.50859777 0.52873956 0.58394612 0.62062669
 0.6397206  0.66407097 0.67358804 0.69606609 0.68782143]"
14.72122159233258,"[0.         0.01083572 0.02636373 0.04115523 0.05177611 0.07474728
 0.08197667 0.0909703  0.12603686 0.12708045 0.14955637 0.16791648
 0.18498547 0.20317027 0.22571137 0.25004465 0.27328931 0.28586382
 0.30191036 0.35205052 0.36983593 0.41140253 0.42436309 0.46085978
 0.4993096  0.52252096 0.5263041  0.55072001 0.55670079 0.56907703
 0.5921585  0.59686211 0.59883461 0.65102223 0.64800089 0.65400221
 0.66570848 0.66299677 0.6684521  0.71847102 0.6963557 ]"
14.322953224451446,"[0.         0.01206524 0.02418394 0.0354364  0.04668391 0.06829907
 0.0777858  0.09785952 0.10682112 0.12849696 0.13295061 0.14674288
 0.16430191 0.19936116 0.20528933 0.22330586 0.24492083 0.27796632
 0.31319141 0.33534106 0.3430122  0.36282092 0.38086576 0.3875861
 0.42149394 0.46164627 0.5067818  0.54370203 0.56821101 0.59619423
 0.61424802 0.62945557 0.64096081 0.63867437 0.67469792 0.64184473
 0.66374275 0.6797859  0.68752521 0.68828554 0.70082967]"
