AUC,Mean Deletion Errors for each Pixel
13.230253692411537,"[0.         0.01233529 0.03638966 0.13584587 0.29956934 0.27089439
 0.21746608 0.20937637 0.21338299 0.24361258 0.23031573 0.20330895
 0.21258758 0.1958684  0.18153315 0.20885838 0.22465062 0.23028857
 0.26281536 0.25967178 0.25930478 0.27375664 0.27069432 0.26868226
 0.29961431 0.35232608 0.35744139 0.41875464 0.46696578 0.5011946
 0.50960263 0.54570144 0.51935188 0.51868916 0.53868869 0.49033717
 0.49169044 0.54960413 0.65386147 0.74967476 0.69109209]"
13.615051930542487,"[0.         0.01643619 0.02727671 0.13283015 0.2881059  0.30296852
 0.24128059 0.19827524 0.19039742 0.22512337 0.2441496  0.22132848
 0.22858662 0.23026857 0.2230965  0.24373969 0.27556745 0.29486701
 0.27034307 0.29909081 0.31025595 0.29306489 0.28028878 0.29297443
 0.33388796 0.32680622 0.34498873 0.41195282 0.43795898 0.47954223
 0.54894227 0.535912   0.5204486  0.50978327 0.52275283 0.48016377
 0.47962148 0.54341402 0.71502013 0.75232434 0.68243265]"
13.969170329209334,"[0.         0.01623001 0.02836493 0.1363242  0.29189227 0.31405319
 0.25139657 0.24675661 0.26084662 0.27714781 0.26349145 0.27100183
 0.25327975 0.22565355 0.18937634 0.22251779 0.28783117 0.3066509
 0.29048963 0.29794087 0.3001153  0.31089638 0.31393479 0.34273015
 0.35305333 0.31436125 0.31445077 0.34002219 0.38656663 0.40865999
 0.45471886 0.47884233 0.53006372 0.53437776 0.51826111 0.52629892
 0.51017954 0.72526275 0.77344136 0.74939126 0.70459294]"
12.684172313950178,"[0.         0.01487284 0.02449371 0.1161834  0.28229962 0.31109285
 0.22328185 0.22777738 0.26258738 0.25361079 0.2294062  0.22089232
 0.20975428 0.19036377 0.17630365 0.17890039 0.16755801 0.22872312
 0.2534193  0.2733932  0.27617071 0.28009126 0.2902292  0.30192964
 0.29516633 0.30651001 0.32691859 0.37016253 0.40265789 0.42395952
 0.43727392 0.44929654 0.50869584 0.53146309 0.52675493 0.4922578
 0.4862944  0.47005647 0.604374   0.71050869 0.69697379]"
13.917835122869665,"[0.         0.01496344 0.02945874 0.13189174 0.28459379 0.29992709
 0.24784769 0.23664912 0.24520983 0.23968758 0.25145468 0.23782147
 0.23376047 0.22506304 0.23816472 0.23265934 0.27780144 0.29690422
 0.27356053 0.2873922  0.2960794  0.29296975 0.30992729 0.32563411
 0.40547103 0.4098402  0.45844014 0.48344637 0.49018354 0.487616
 0.41614535 0.48829758 0.50629731 0.49813878 0.51442821 0.47060693
 0.50447934 0.53544454 0.70377698 0.69772974 0.67614278]"
16.268828487158746,"[0.         0.01519164 0.02311931 0.090738   0.11988242 0.15691644
 0.21201018 0.27598958 0.29609421 0.28516326 0.30425797 0.29530579
 0.33036523 0.34040711 0.35535526 0.32583986 0.32536957 0.31646257
 0.31041365 0.3567302  0.38078802 0.36841148 0.35340937 0.3680279
 0.40361723 0.4337073  0.48912135 0.54111984 0.57248113 0.53287648
 0.54227218 0.51716    0.58951923 0.61327847 0.68192951 0.73913451
 0.79006227 0.76989168 0.74601859 0.73520728 0.73036491]"
15.489828886682332,"[0.         0.01135127 0.02063955 0.05692099 0.0691198  0.09480217
 0.11854496 0.18115363 0.22296349 0.23392769 0.24004216 0.24347702
 0.22801709 0.27653428 0.28844959 0.34141146 0.34532614 0.32687193
 0.33639904 0.34315854 0.34173998 0.35033628 0.34694094 0.36344718
 0.37334674 0.39950392 0.46729383 0.52216767 0.56014886 0.58597666
 0.60406374 0.62078514 0.64283381 0.64413371 0.65049441 0.64370858
 0.72381419 0.79282467 0.78599164 0.73677774 0.70877674]"
14.037423278728053,"[0.         0.01114659 0.01626794 0.02995784 0.0242866  0.07475523
 0.1620048  0.20730832 0.23774424 0.22897801 0.26238063 0.28263049
 0.26999612 0.28714132 0.26731862 0.25618476 0.26917543 0.28050315
 0.28782669 0.2685846  0.29305536 0.32222321 0.29385989 0.32443129
 0.3348576  0.35021995 0.37245573 0.42819006 0.45247369 0.48374593
 0.56581213 0.59766496 0.5826473  0.59092877 0.59800961 0.58362024
 0.64167156 0.75067848 0.72047544 0.68019366 0.69203413]"
12.782925782400651,"[0.         0.01158408 0.03161259 0.05029882 0.05551281 0.06702472
 0.06542438 0.06462677 0.06335666 0.06411997 0.08692593 0.106551
 0.14545933 0.16925251 0.21845594 0.31462957 0.32611294 0.32573481
 0.33587785 0.35394309 0.35137541 0.34337503 0.35505255 0.34351639
 0.33758879 0.34089198 0.37941418 0.370496   0.38753029 0.39062348
 0.40423215 0.45982041 0.50712759 0.55683082 0.58232882 0.60089875
 0.65620348 0.71917867 0.76058869 0.72636718 0.70596267]"
