AUC,Mean Deletion Errors for each Pixel
14.708678963423313,"[0.         0.03542648 0.10359633 0.16672956 0.23165971 0.22106548
 0.23841184 0.2593727  0.22420018 0.22922693 0.20790498 0.20024009
 0.2393357  0.24555865 0.24553961 0.25134828 0.24483322 0.24373013
 0.24305207 0.24180605 0.22399693 0.21661526 0.23984974 0.27587172
 0.34355971 0.42820133 0.43505325 0.46418725 0.52983704 0.60790106
 0.60365611 0.60358154 0.58463587 0.54757855 0.55806124 0.6245019
 0.67761986 0.79697266 0.79609004 0.73241132 0.69091717]"
14.698591270472061,"[0.         0.0287746  0.09586848 0.10270417 0.13011827 0.17818344
 0.24159627 0.24467395 0.23491691 0.218021   0.24996075 0.25390614
 0.21953938 0.19957571 0.18160765 0.21070382 0.21686815 0.21429072
 0.21126881 0.19593494 0.21318208 0.24789965 0.27702164 0.32879642
 0.35254226 0.37910924 0.40955367 0.42990353 0.462627   0.53761987
 0.58148291 0.63528831 0.64445675 0.6611571  0.72534672 0.76580026
 0.80855596 0.78683953 0.77028166 0.71433622 0.67655471]"
13.171716980653727,"[0.         0.02848482 0.09355692 0.09559599 0.11201041 0.17104477
 0.21480746 0.24269406 0.22096341 0.21544311 0.24398263 0.26221007
 0.21826927 0.19848598 0.17786876 0.19253903 0.24966217 0.21887093
 0.24434054 0.26248493 0.26631868 0.29050713 0.30973176 0.33393289
 0.34401222 0.39248257 0.41937495 0.45329721 0.4420838  0.44931201
 0.47479486 0.47648611 0.47229692 0.43086371 0.43308276 0.46580601
 0.52549314 0.61224699 0.81020933 0.76080323 0.69053087]"
12.573867333190574,"[0.         0.03010103 0.09297542 0.09944665 0.1310536  0.17286544
 0.2635734  0.25050442 0.23989399 0.20620333 0.25169679 0.26063613
 0.25860227 0.23605624 0.21561813 0.18371038 0.21272287 0.2205012
 0.20933861 0.21349204 0.18134715 0.1803923  0.19244582 0.22112911
 0.22815394 0.26713408 0.32240681 0.38127013 0.40812562 0.39149427
 0.42661735 0.44281174 0.41713869 0.47334593 0.51292929 0.56034854
 0.63085348 0.72272639 0.77677613 0.73571267 0.70343194]"
12.543003472038226,"[0.         0.03116864 0.08834122 0.12238019 0.14401465 0.18182174
 0.22971761 0.24628732 0.25512528 0.22680483 0.26966204 0.26392086
 0.27942544 0.23733952 0.20055622 0.19905421 0.23207478 0.24726239
 0.29123429 0.29589146 0.28296138 0.26811765 0.27565785 0.27048354
 0.3042825  0.31880919 0.3344266  0.31552287 0.35760303 0.37076265
 0.40791377 0.45259549 0.47190316 0.45399699 0.45248649 0.45709505
 0.50271667 0.59063228 0.6282043  0.64364247 0.68221378]"
14.669551705525743,"[0.         0.02812953 0.04683229 0.09875546 0.08698016 0.12520112
 0.15239952 0.16721112 0.23096496 0.23042391 0.28011968 0.25158014
 0.23526413 0.2084808  0.18014237 0.19231869 0.22756225 0.2642141
 0.27357432 0.29838188 0.34762346 0.3600306  0.4049991  0.42014093
 0.41544776 0.41275963 0.44705544 0.45164928 0.47749425 0.49547514
 0.52845719 0.54836733 0.58438625 0.60385196 0.6552107  0.69701344
 0.70851264 0.72356588 0.73595757 0.72291842 0.70019658]"
15.290511280205163,"[0.         0.02287917 0.05244202 0.06704031 0.0888602  0.13943975
 0.19868562 0.23201463 0.24932316 0.25415889 0.2761     0.26792779
 0.22677278 0.21862643 0.23253222 0.24196024 0.24197627 0.23741552
 0.28010321 0.32576296 0.32746843 0.34958522 0.3674237  0.39006006
 0.42162942 0.44284771 0.46013881 0.46604833 0.47462994 0.5228312
 0.53251932 0.58138392 0.64771387 0.67868266 0.72528723 0.72402001
 0.73927955 0.78545542 0.73844993 0.70680522 0.70846028]"
16.30939609777803,"[0.         0.01814105 0.03715078 0.06231239 0.09342665 0.12490943
 0.15871049 0.18999852 0.23395485 0.24073295 0.24915743 0.28310457
 0.2703584  0.27418998 0.30005484 0.30048122 0.31829882 0.3219566
 0.35062897 0.3745646  0.38636638 0.41854446 0.43658841 0.45691279
 0.48300924 0.51803882 0.50596394 0.51850884 0.55745633 0.6214084
 0.61970471 0.63768514 0.65580282 0.66117159 0.71498399 0.72779619
 0.72677918 0.72542458 0.70381419 0.69095114 0.6807049 ]"
14.50865891657481,"[0.         0.02049639 0.03565101 0.04245586 0.07109259 0.09875747
 0.12095198 0.14484135 0.16375185 0.18279095 0.1777346  0.18021328
 0.18705816 0.20014237 0.21901257 0.25021922 0.24599924 0.24187676
 0.23282857 0.25993149 0.27971768 0.32353126 0.36913123 0.40715609
 0.44851214 0.42009442 0.45934359 0.50027648 0.53147271 0.57072299
 0.58267029 0.61723413 0.59246997 0.65135363 0.68316716 0.75333029
 0.72136835 0.73728081 0.72354383 0.70887313 0.70320608]"
