AUC,Mean Insertion Errors for each Pixel
9.007254586732298,"[0.70716466 0.66117009 0.56525339 0.58988292 0.51967001 0.46882819
 0.46837929 0.50527404 0.47405992 0.44503881 0.42407731 0.37835636
 0.32183194 0.28185951 0.2601272  0.20856049 0.1685927  0.14907418
 0.14973971 0.159878   0.13917272 0.14187438 0.14847826 0.13496473
 0.12606514 0.13194118 0.103164   0.09109248 0.07190796 0.05558234
 0.04707169 0.04688748 0.04125445 0.04246119 0.03499693 0.02734285
 0.02571739 0.0202357  0.00943949 0.00958206 0.00957161]"
8.628605596165094,"[0.66541973 0.65909601 0.55272417 0.4887405  0.53413958 0.54864702
 0.45722383 0.41017192 0.38739352 0.33087553 0.36047757 0.35941218
 0.33899396 0.33188432 0.29465873 0.22909129 0.18707044 0.17248485
 0.18340584 0.17721663 0.15252391 0.13450557 0.12286201 0.10781369
 0.08286818 0.08400673 0.07045183 0.06501031 0.0588991  0.05274151
 0.06270325 0.06105005 0.05540177 0.04533437 0.03266868 0.02700536
 0.02580026 0.0185337  0.01832094 0.00965727 0.00805872]"
9.315466926526787,"[0.71224232 0.66606052 0.57749065 0.51443389 0.54878641 0.56954235
 0.50848274 0.47053988 0.43849871 0.36347746 0.38207555 0.37525029
 0.38342394 0.36598638 0.30254241 0.24892    0.19760301 0.1822317
 0.16693851 0.17649797 0.16698963 0.16999819 0.14361366 0.1126273
 0.08763399 0.07717837 0.06683588 0.07027893 0.0618635  0.06625878
 0.06393165 0.06569433 0.0629735  0.0561132  0.05126173 0.06240286
 0.0584135  0.03963369 0.01873487 0.01458194 0.00708782]"
9.5907050768949,"[0.69462563 0.65442637 0.55018628 0.49646995 0.51551933 0.56679718
 0.4591634  0.43033053 0.39233113 0.34300294 0.36984419 0.36606683
 0.35477834 0.34738678 0.31169453 0.27965532 0.25530566 0.1938575
 0.17930497 0.15685516 0.159997   0.18556921 0.17301163 0.17805026
 0.17894022 0.16087761 0.15853336 0.14326612 0.12137739 0.10509352
 0.08649853 0.08430532 0.07289134 0.05167525 0.04242376 0.03163301
 0.02895644 0.02623462 0.0143587  0.01287834 0.00768845]"
8.633167452649797,"[0.68693055 0.64989304 0.58460643 0.47395251 0.53029779 0.5353045
 0.46742704 0.4020462  0.35738686 0.34303787 0.33998073 0.32985113
 0.32251951 0.33780163 0.30983665 0.27081247 0.21085512 0.16652728
 0.13184351 0.11839906 0.11327849 0.10127587 0.10340774 0.09331087
 0.08317971 0.08538779 0.07774613 0.07542875 0.06593661 0.06948498
 0.07602457 0.07235471 0.06753086 0.07733634 0.05957628 0.05427421
 0.04214585 0.03842904 0.03042101 0.01722188 0.00714232]"
8.720942534742333,"[0.6920252  0.70086854 0.60955431 0.53934242 0.48327396 0.44355833
 0.41916711 0.43303185 0.37253898 0.37788518 0.33353479 0.31629144
 0.32373491 0.32831366 0.28714618 0.26256814 0.23314473 0.18876317
 0.16857604 0.15743887 0.14331931 0.11920747 0.10770963 0.10384719
 0.09200335 0.0966382  0.08614218 0.06966333 0.0712564  0.06363064
 0.06343778 0.06538554 0.0571708  0.05757626 0.05120839 0.04650861
 0.0321328  0.02838674 0.02289868 0.01342047 0.00930713]"
8.838432427334148,"[0.69031757 0.63315071 0.57192057 0.51583588 0.4678038  0.46629832
 0.43280904 0.41565506 0.3716576  0.37518334 0.33806891 0.3076088
 0.30662515 0.29110143 0.26141052 0.2397914  0.21038925 0.19234156
 0.15945918 0.18329776 0.15932876 0.14725101 0.13911424 0.12865318
 0.13567432 0.13298119 0.11160547 0.11843122 0.09952992 0.0930628
 0.09704881 0.08616645 0.0735428  0.05735535 0.04490018 0.03587405
 0.02947197 0.02449211 0.01843679 0.01635613 0.00717729]"
9.005399797118747,"[0.69682544 0.62378115 0.57041241 0.55068133 0.52348738 0.46556677
 0.44900587 0.41268926 0.39979276 0.38994516 0.33284117 0.32889731
 0.28968446 0.2688005  0.2634912  0.26047953 0.21116089 0.1957055
 0.20730087 0.18785875 0.1800485  0.15101432 0.15982494 0.13711458
 0.11899073 0.1231982  0.10455571 0.10310741 0.1055481  0.09115652
 0.07838883 0.07482693 0.06168503 0.05656653 0.04432493 0.0370633
 0.03068567 0.02649465 0.0199555  0.01492889 0.0118511 ]"
10.623825299883343,"[0.70591872 0.62291176 0.61340167 0.56869084 0.55733442 0.51267315
 0.47087174 0.48394187 0.42464751 0.41198801 0.39633512 0.38799177
 0.35087943 0.33765352 0.33040536 0.30315295 0.28331941 0.26792725
 0.27634069 0.24256816 0.22930376 0.21166494 0.22016893 0.202708
 0.18175772 0.18435953 0.15642367 0.14748887 0.13537049 0.12951556
 0.12404513 0.11057507 0.10326284 0.08391635 0.05628779 0.04450317
 0.04018872 0.02765872 0.02263274 0.01179247 0.00841366]"
